,date,tweet,hashtags
0,2021-04-29,"Ei vamos dar importância ao suicido?  A CVV ( Centro de valorização da vida) realiza apoio emocional e prevenção do suicídio atendendo voluntariamente grata aumente todas as pessoas que querem e precisam conversar,sob total sigilo por telefone, e-mail, chat e voip 24 horas+",
1,2021-04-29,@wonderx91 KJKKKKKKKK O NUMERO LEVOU PRO CENTRO DE VALORIZAÇÃO DA VIDA,
2,2021-04-29,"@PeDRln_Sh0ta Mano, é o centro de valorização da vida, mimha amiga ta pensandk em se m, eu to esperando pra falar com o atendente",
4,2021-04-28,Ao menor sinal de depressão busque ajuda profissional. Sua vida vale muito e impacta positivamente muitas pessoas. Não deixe que os momentos ruins apaguem o brilho de sua jornada.  Se precisar conversar pode me chamar ou ligue 188 (CVV - Centro de Valorização da Vida),
5,2021-04-28,"@caldasvi97 Fala, Caldas. Nós levamos esse assunto muito a sério. Por isso, recomendamos que entre em contato com instituições idôneas, como o CVV - Centro de Valorização da Vida, telefone 188. Eles possuem pessoas qualificadas que poderão dar o auxílio necessário. Obrigado.",
6,2021-04-28,Ligue 188 - cvv Centro de valorização da vida.  O cvv realiza apoio emocional e prevenção ao suicídio  Você não está sozinho(a)🎗💛,
7,2021-04-27,toda vez que eu jogo baleia azul no search aparece em cima negocio de Centro de Valorizaçao da Vida sempre esboço vo si mija,
8,2021-04-27,@thyxgx centro de valorização da vida de um emprego a este jovem,
9,2021-04-26,⚠️ prevenção ao suicídio:  • LIGUE 188 ‼️  - centro de valorização da vida. -    o cvv realiza apoio emocional e prevenção ao suicídio. Ele está disponível 24 horas por dia e é sigiloso.,
10,2021-04-26,"converse com as pessoas que você ama e confia.   se não se sentes à vontade... como foi no meu caso, contate o Centro de Valorização da Vida (Cvv)  Ligue 188.  NÃO cale seu grito de socorro. sua dor pode ser ouvida, você NÃO precisa se tornar dormente.  todas as vidas importam!",
11,2021-04-26,"⚠️ prevenção ao suicídio:  LIGUE 188 📞   centro de valorização da vida. o cvv realiza apoio emocional e prevenção ao suicídio.  você não está sozinhe, sua vida é importante e preciosa! se precisar conversar minha dm está aberta.🤍",
12,2021-04-26,"⚠️ Se você ou alguém que você conhece está em risco de automutilação ou suicídio, procure ajuda o mais rápido possível entrando em contato com agências especializadas em intervenção em crises e prevenção de suicídio. Ligue para o Centro de Valorização da Vida - 188 !",
13,2021-04-25,sabia que se você pesquisar qual o jeito menos doloroso de se matar aparece o número do centro de valorização da vida?,
14,2021-04-25,"@LordsOfAssemble @xaropecomx Centro de Valorização da Vida Disponível 24 horas por telefone e no seguinte horário por chat: Dom - 17h à 01h, Seg a Qui - 09h à 01h, Sex - 15h às 23h, Sáb - 16h à 01h. Saiba mais 188",
15,2021-04-25,"@Zapzap_2 O Centro de Valorização da Vida realiza apoio emocional e prevenção do suicídio, atendendo voluntária e gratuitamente todas as pessoas que querem e precisam conversar, sob total sigilo por telefone, email e chat 24 horas todos os dias. Ligue 188   você não está sozinho 💕👍",
17,2021-04-25,"⚠️ prevenção ao suicídio:  LIGUE 188 📞   centro de valorização da vida. o cvv realiza apoio emocional e prevenção ao suicídio.  VOCÊ NÃO ESTA SOZINHE, VOCÊ É FORTE. MINHA DM ESTÁ ABERTA PARA CONVERSARMOS",
18,2021-04-25,"@adnyLszz Encontre ajuda Fale com um profissional hoje Centro de Valorização da Vida Disponível 24 horas por telefone e no seguinte horário por chat: Dom - 17h à 01h, Seg a Qui - 09h à 01h, Sex - 15h às 23h, Sáb - 16h à 01h. Saiba mais",
20,2021-04-24,"⚠️ prevenção ao suicídio:  LIGUE 188 📞   centro de valorização da vida. o cvv realiza apoio emocional e prevenção ao suicídio.  você não está sozinhe, sua vida é importante e preciosa! se precisar conversar minha dm está aberta.",
21,2021-04-23,"@m_terezaon Se você quiser conversar com alguém sobre esta situação, ligue para 188 Centro de Valorização da Vida (CVV)",
