,date,tweet,hashtags
0,2021-04-29,"Deus, só uma sugestão: Além de um anjo da guarda o senhor poderia dar às pessoas também um terapeuta para chamar de seu. #Facaterapia",#Facaterapia
1,2021-04-29,Psicólogo também faz terapia e hoje é o meu dia!   #façaterapia,#façaterapia
2,2021-04-29,"Informação não é formação!! Você pode ter informações a respeito de um assunto, mas isso não te faz especialista nele, busque ajuda profissional! Sua saúde agradece!!  #façaterapia #saúdemental","#façaterapia, #saúdemental"
3,2021-04-27,Psicologia é a luz do mundo 😃✨  Esse é o Twitter 😜 #Façaterapia #autoconhecimento #existência,"#Façaterapia, #autoconhecimento, #existência"
5,2021-04-26,"Sinto que cheguei no nível hard da minha terapia. A cada sessão me deparo com novos confrontos, passo dias refletindo e mergulho cada vez mais dentro de mim. É desafiador, mas, extremamente necessário. 🤔 #SaúdeMental #FaçaTerapia","#SaúdeMental, #FaçaTerapia"
6,2021-04-26,"Caráter é quem somos por trás das pessoas, não na frente. Esquecer que tinha dezenas de câmeras ligadas? Proposital ou ato falho? #BBB21 #façaterapia #mãenarcisista","#BBB21, #façaterapia, #mãenarcisista"
8,2021-04-24,Espero que a terapia seja cada vez mais acessível para as pessoas e que todos possam reconhecer quando há necessidade de fazer #façaterapia #autoconhecimento,"#façaterapia, #autoconhecimento"
9,2021-04-24,"Na terapia aprende-se a ser mais forte que o perigo, a ter mais foco, a fabricar novas Coragens. E com isto, você se apodera da missão de salvar a si mesmo todos os dias. Você se torna seu próprio herói. #autoestima #coragem #façaterapia #crescimento #psicologiaporamor","#autoestima, #coragem, #façaterapia, #crescimento, #psicologiaporamor"
10,2021-04-23,Quando você percebe que se não tiver propósito de vida não há porque está vivo! #façaterapia,#façaterapia
11,2021-04-20,Incrível como 50 min. de terapia dá um gás gigantesco 🤩 #façaterapia,#façaterapia
14,2021-04-17,"Olha o que esse esse mundo pandemico fez com a gente: antes pagava por festa para se distrair, esquecer os problema e tals. Hoje  paga por terapia! Aí está a prova de que terapia sempre será importante. #Façaterapia",#Façaterapia
16,2021-04-15,"Quando tu me diz que ""preciso de terapia"", reconheço que preciso mesmo, e faço. E tu? #terapia #terapianapandemia #façaterapia","#terapia, #terapianapandemia, #façaterapia"
17,2021-04-15,"Eu amo a Lúcia! Já passei por muitas psicólogas, mas essa eu acertei! Não quero ter alta nunca.. kkkkkkkkk #façaterapia",#façaterapia
18,2021-04-15,Hoje minha psicóloga judiou! #façaterapia #terapiaevida,"#façaterapia, #terapiaevida"
19,2021-04-15,"Apesar de esta melhor, estou vivendo hoje com a alegria que amanhã tenho minhas sessão com a psicóloga. 😊 #façaterapia",#façaterapia
21,2021-04-14,"Reflexões 🌸  ""Pare de se odiar pelo que você não é, e comece a se amar pelo que é .""   #facaterapia #terapia #terapiaonline #Psicologia","#facaterapia, #terapia, #terapiaonline, #Psicologia"
22,2021-04-13,Saí só a capa do batman da terapia de hoje. Meu Deus!!! #façaterapia,#façaterapia
23,2021-04-13,"Procure a escuta científica e profissional, busque tratamentos sérios. Cuide de sua saúde psicológica.   Saúde é coisa séria, por isso dedique-se ao seu bem-estar duradouro.  #Psicologia #Psicoterapia #FaçaTerapia #PsicólogoHélioJr #EscutaProfissional #SaúdeMental","#Psicologia, #Psicoterapia, #FaçaTerapia, #PsicólogoHélioJr, #EscutaProfissional, #SaúdeMental"
26,2021-04-07,"""Na terapia percebi que há muito tempo sou ansiosa, mas só no processo terapêutico descobri o que vem desencadeando todo esse excesso de sentimentos e sensações desagradáveis, e sabe por quê? Porque eu decidi olhar para mim!""  #FaçaTerapia #PsicólogaLuanaFagundes","#FaçaTerapia, #PsicólogaLuanaFagundes"
27,2021-04-06,"“Não somos, apenas estamos”! Que isso te dê forças para sair da situação que está, e te motive a buscar ajuda! As coisas não dependem somente de nós, mas ainda assim, somos ativos no processo de mudança! #façaterapia",#façaterapia
28,2021-04-05,A melhor sensação é vc ir a terapia e contar todos os seus dramas e fantasmas sem ninguém pra te julgar!!  #façaterapia #facebooknãoédivã,"#façaterapia, #facebooknãoédivã"
29,2021-04-05,"@Michelitos79 #façaterapia inclusive, sou psicólogo 👀",#façaterapia
30,2021-04-02,@bardoguto “Cuidando do meu bem mais preciso: eu :) #façaterapia “,#façaterapia
31,2021-04-01,Ou que a sua história de vida te leve a uma emancipação. Logicamente que cada caso é um caso!! :) #façaterapia,#façaterapia
32,2021-04-01,Toda dor pode ser suportada se sobre ela puder ser contada uma história!   (Hanna Arendt) #facaterapia #psicanalise,"#facaterapia, #psicanalise"
33,2021-03-31,A cada diálogo na terapia eu sinto um alívio nas costas.  #FacaTerapia,#FacaTerapia
34,2021-03-30,"Fica o recado aí do #BBBB21 #BBB : Façam terapia! Se o jogo do BBB é difícil, imaginem só o jogo da vida!! Procurem um Psicólogo! Nós estamos aqui para ouvir, acolher, compreender e jamais julgar. Vc não precisa passar por nada sozinho! #facaterapia","#BBBB21, #BBB, #facaterapia"
36,2021-03-30,Que VT lindo esse da Sessão de Terapia com Selton Mello no BBB #BBBB21 #FaçaTerapia,"#BBBB21, #FaçaTerapia"
37,2021-03-30,@bbb exaltando a importância da terapia para QUALQUER pessoa. #facaterapia,#facaterapia
38,2021-03-30,Que show o #BBB focar na importância da terapia! 💚  #BBB21 #Façaterapia #FicaJuliette,"#BBB, #BBB21, #Façaterapia, #FicaJuliette"
40,2021-03-28,@Psiconline2 @GeracaodeValor Boa! 😍 Bora fazer terapia 😉  #façaterapia,#façaterapia
41,2021-03-25,"Quando a gente não sabe o que quer de fato, fica difícil comunicar nossas necessidades aos outros e é bem provável que a gente acabe se frustrando nas nossas relações. #FaçaTerapia",#FaçaTerapia
43,2021-03-24,Respeitar a demanda de fala do coleguinha - te faz uma pessoa incrível!   #saudemental #facaterapia,"#saudemental, #facaterapia"
46,2021-03-24,As nossas fantasias funcionam para que encontremos um pouco do real...  #psicologia #psicanálise #terapia #divangando #façaterapia #fantasia #real #psi #freud #lacan,"#psicologia, #psicanálise, #terapia, #divangando, #façaterapia, #fantasia, #real, #psi, #freud, #lacan"
