,date,tweet,hashtags
0,2021-04-08,"Por vezes nos sentimos acorrentados pelo medo, pelo frio na barriga, pela vontade de chorar, pelo desânimo...  Não negue seus pensamentos, busque nomear seus sentimentos.  Lembre-se: #Ansiedade não é frescura.   #depressao #psicoterapia #pecaajuda","#Ansiedade, #depressao, #psicoterapia, #pecaajuda"
1,2021-03-27,"Vamos lá! Tire essa máscara de felicidade, e mostre sua verdadeira face, cheia de dor, e peça ajuda por favor, não brinque com sua saúde mental, se está sofrendo peça ajuda. Obrigada...  #DigaNaoADepressao #PecaAjuda #TristeNao #SaudeMental","#DigaNaoADepressao, #PecaAjuda, #TristeNao, #SaudeMental"
2,2021-02-09,Aqui não é novela não caralho!  Aqui é vida “real”e pode tá acontecendo bem do teu lado e você não consegue enxergar. #pecaajuda #ajude #tenhaempatia,"#pecaajuda, #ajude, #tenhaempatia"
3,2020-11-13,"Pode mandar mensagem pra mim se vc não sentir que pode conversar com alguém próximo! Só por favor, NÃO DESISTA, a vida é difícil, eu sei, mas as coisas podem e vão melhorar! PEÇA AJUDA NÃO TENHA VERGONHA 🎗🎗🎗 #lutoporgabi #peçaajuda","#lutoporgabi, #peçaajuda"
4,2020-11-06,@LarissahSou #VocêNãoEstáSozinha #PeçaAjuda  Fale com alguém.  🌻,"#VocêNãoEstáSozinha, #PeçaAjuda"
5,2020-11-05,"Eu gosto de imaginar como se minha mãe fosse uma árvore de maçã e eu de pêssego por exemplo, e a vida toda ela enroscou os galhos dela em mim e me obrigou a agir como macieira e agora que me libertei, tenho que descobrir como é ser um pessegueiro   #peçaajuda",#peçaajuda
6,2020-09-18,Falar de suicídio não é ensinar ninguém a se suicidar. É ensinar PREVENÇÃO.  #SetembroAmarelo #Autocuidado #prevençãoaosuicidio #peçaajuda,"#SetembroAmarelo, #Autocuidado, #prevençãoaosuicidio, #peçaajuda"
7,2020-09-18,@DUCATI1260 Vixe. Entrou em estado de DELÍRIO🥺 #PeçaAjuda,#PeçaAjuda
10,2020-05-16,@felipeneto Chorei no dia que vi essa campanha.. Cuidem-se. #peçaajuda,#peçaajuda
11,2020-02-27,"Meu querido professor de anatomia II Aldrin acaba de ser encontrado morto, suicidou-se, foi escolhido p ser homenageado pela minha turma na colação, pelo ser maravilhoso que era, mt triste, forças pra esposa e filho adolescente que deixou, a depressão é uma desgraça 😭 #peçaajuda",#peçaajuda
