,date,tweet,hashtags
4,2021-04-29,Lembrete!  Psicoterapia é 10% técnicas e ferramentas e 90% vínculo.  #saudemental #psicologia #psicoterapia,"#saudemental, #psicologia, #psicoterapia"
6,2021-04-28,"Referência: Wright, J. H., Basco, M. R., &amp; Thase, M. E. (2008). Aprendendo a terapia cognitivo-comportamental: um guia ilustrado. Porto Alegre: Artmed.  #psicologia #psicoterapia  #saúde #mente #saúdemental  #transtornosdeansiedade #transtornodeansiedade #ansiedade","#psicologia, #psicoterapia, #saúde, #mente, #saúdemental, #transtornosdeansiedade, #transtornodeansiedade, #ansiedade"
8,2021-04-28,Não pare de andar! 👍🏻😉😼  #psicologia #psicologo #saudemental ##saudeemocional #terapiacognitiva #terapiacognitivocomportamental #cognitivebehavioraltherapy #psicoterapia #presidenteprudente #terapeuta #consultório #boanoite,"#psicologia, #psicologo, #saudemental, #saudeemocional, #terapiacognitiva, #terapiacognitivocomportamental, #cognitivebehavioraltherapy, #psicoterapia, #presidenteprudente, #terapeuta, #consultório, #boanoite"
13,2021-04-28,"Tuite do meio dia!   Você precisa se sentir feliz pelo que você tem, e onde você está, não importa onde e como esteja, sua felicidade deve ser aí.   #Existencia #Psicologia #Psicoterapia #razao #ciencia #sucesso #felicidade #Autoestima #autoconhecimento #vida","#Existencia, #Psicologia, #Psicoterapia, #razao, #ciencia, #sucesso, #felicidade, #Autoestima, #autoconhecimento, #vida"
14,2021-04-28,"""Perder-se também é caminho"" (Clarisse Lispector) #relacionamentos #psicoterapia #saúdemental","#relacionamentos, #psicoterapia, #saúdemental"
17,2021-04-27,"Bem, isso se chama imaturidade. Mas será que você não cresceu por que não quis? Não! Você está onde está porque foi tudo o que deu para fazer, era tudo o que você sabia e podia fazer. #psicoterapia",#psicoterapia
23,2021-04-27,"A palavra que sai ou a que fica, é sempre dita. As não ditas para fora, costumam ficar dizendo para dentro.   #psicologia #psicoterapia #falar","#psicologia, #psicoterapia, #falar"
28,2021-04-26,"O Ressentimento é quando, através de nossa memória, ficamos sentindo novamente aquilo que sentimos em situação passada. O problema do ressentimento é que ele nos impede de ter novos sentimentos em relação às pessoas e a novas situações. Com ele vivemos no passado... #psicoterapia",#psicoterapia
30,2021-04-26,"Hábitos como respeitar os próprios limites, ser responsável com as próprias ações e fazer psicoterapia são ótimos recursos para o autocuidado, principalmente do ponto de vista psicológico e emocial.   #saúdementalimporta #psicoterapia","#saúdementalimporta, #psicoterapia"
39,2021-04-24,Falar só é terapêutico quando a escuta é qualificada #Terapia #psicoterapia,"#Terapia, #psicoterapia"
47,2021-04-23,"""Use a dor como uma pedra em seu caminho e não coml uma área pra acampar.""  Alan Cohen  #psicoterapia #psicologoemfortaleza #psicoterapia #bbb21 #redebbb  @psi_alcircaniggia","#psicoterapia, #psicologoemfortaleza, #psicoterapia, #bbb21, #redebbb"
52,2021-04-23,"Sábado agora não é mais dia de folia, de descanso, de piscina, de dança. Meus sábados de manhã são de atendimentos à pessoas enlutadas, deprimidas, ansiosas, ou que querem ter um momento mara de autoconhecimento #Psicoterapia",#Psicoterapia
56,2021-04-23,"Psicóloga Clínica | Pós Graduanda em Neuropsicologia | CRP 08/27543 “De uma chance para você mesmo, cuidar da sua saúde mental é muito importante, faça psicoterapia!” #Psicologia #psicólogaonline #psicoterapia #saudemental","#Psicologia, #psicólogaonline, #psicoterapia, #saudemental"
59,2021-04-22,"...cada choro, seja ele por motivo bons ou ruins,cada momento está arquivado na sua cabeça, então enquanto a sua cabeça diz sobre Você já pensou nisso? #psicoterapia #psicanalise #psychoanalysis #hipnoseclinica #autoconhecimento #autocuidado","#psicoterapia, #psicanalise, #psychoanalysis, #hipnoseclinica, #autoconhecimento, #autocuidado"
61,2021-04-22,permanecerem em união com os entes amados. Espero que eu tenha ajudado vocês um pouquinho com o compartilhamento desde conhecimento ! 💭 #psicologia  #psicoterapia  #psicoterapiaonline #terapiacognitivocomportamental #motivacao #emoção #comportamento  #mudepensamentos,"#psicologia, #psicoterapia, #psicoterapiaonline, #terapiacognitivocomportamental, #motivacao, #emoção, #comportamento, #mudepensamentos"
69,2021-04-21,Parecia a Freud que as pessoas gostam de dar murro em ponta de faca – procuram irracionalmente repetir uma vivência negativa.   #psicanalista #psicanalise #psicologia #freud #lise #psican #terapia #psicoterapia #o #saudemental #autoconhecimento #lacan #psic #psicanaliseclinica,"#psicanalista, #psicanalise, #psicologia, #freud, #lise, #psican, #terapia, #psicoterapia, #saudemental, #autoconhecimento, #lacan, #psic, #psicanaliseclinica"
71,2021-04-21,"Quando alguém te dizer “Você é muito sensível, leva as coisas sempre ao extremo”. Lembre-se: Seus sentimentos são válidos♥️  #saudemental #psicoterapia","#saudemental, #psicoterapia"
92,2021-04-19,"Segundou com S de:  Sei-lá se tenho muito tempo para amar. Vou amar agora, antes que seja  terça e nem amei hoje. Afinal, S também é de Salvação e o amor salva.  #amor #pitadapsi #tiagolupoli #psicoterapia #amorsalva #bemestar #sejabom","#amor, #pitadapsi, #tiagolupoli, #psicoterapia, #amorsalva, #bemestar, #sejabom"
102,2021-04-17,Ansiedade é a mente indo mais rápido que a vida.  #ansiedade #psicoterapia #psicologia #vidaopresente,"#ansiedade, #psicoterapia, #psicologia, #vidaopresente"
114,2021-04-15,Quais os apegos estão limitando meu processo par receber coisas novas?! Reflita e lembre-se: A psicoterapia pode te ajudar nesse processo. ✨ Para agendamentos- 11 9744-5450 🤝 Thalita Bahls- Psicóloga de abordagem humanista e Terapeuta Reiki. 💙 . . . . . . #Psicoterapia,#Psicoterapia
120,2021-04-15,"Você faz terapia?! 🤔🔱 Se não faz, qual o motivo?  #Psicologia #psicoterapia #autoamor","#Psicologia, #psicoterapia, #autoamor"
128,2021-04-14,até por pessoas que julgamos ser iguais a nós.  Só atenção para não rejeitarem si próprios. Este é o pior ‘não’.  PS: terapia ajuda demais.  #doutormaravilha #wonderdoctor #saudelgbt #lgbthealth #prephiv #infectologia #infectologista #rejeição #psicoterapia #gaysp,"#doutormaravilha, #wonderdoctor, #saudelgbt, #lgbthealth, #prephiv, #infectologia, #infectologista, #rejeição, #psicoterapia, #gaysp"
135,2021-04-13,Sabe aquele objetivo que parece muito longe pra ser alcançado?  Garanto que ele fica mais próximo a cada passo!  “A única jornada impossível é aquela que você nunca começa” - Anthony Robbins  #Psicologia #psicoterapia #SaudeMental #autoconfiança,"#Psicologia, #psicoterapia, #SaudeMental, #autoconfiança"
138,2021-04-13,A birra é uma maneira de se expressar utilizada pela criança que ainda não tem repertório suficiente para verbalizar suas emoções.   #Educacao #ParentalAlienation #orientacaoparental #Terapia #Psicologia #infancia #emociones #psicoterapia #comportamento,"#Educacao, #ParentalAlienation, #orientacaoparental, #Terapia, #Psicologia, #infancia, #emociones, #psicoterapia, #comportamento"
163,2021-04-10,Se por em primeiro lugar não é egoísmo. É cuidado consigo mesmo! #psico #psicologia #Psicoterapia #psychology #FolloForFolloBack #SabadoDetremuraSDV,"#psico, #psicologia, #Psicoterapia, #psychology, #FolloForFolloBack, #SabadoDetremuraSDV"
164,2021-04-09,Um sonho tornando-se em realidade! Gratidão! #Psicólogo #PsicólogoClínico #Psicoterapia,"#Psicólogo, #PsicólogoClínico, #Psicoterapia"
170,2021-04-09,Muitos problemas pra zero saúde mental  #psicoterapia #solutions,"#psicoterapia, #solutions"
173,2021-04-08,"Escreva pra mim, sua boba! 👀  #Psicoterapia  #PsicoterapiaOnline  #Covid  #Depressão  #Ansiedade #Sofrimento","#Psicoterapia, #PsicoterapiaOnline, #Covid, #Depressão, #Ansiedade, #Sofrimento"
179,2021-04-08,"💡 Acho a pergunta ""quer conversar sobre isso?"" Uma das mais bonitas, ela demonstra interesse e respeito pelo espaço do outro.  💙🌻💜 #psicoterapia#falarfazbem",#psicoterapia
189,2021-04-07,"A pessoa que acaba com a sua saúde mental não pode ser o grande amor da sua vida. Não romantize relações abusivas, sejam elas: amorosas  familiares ou amizades.  #Psicologia #relacionamento #relacao #abusopsicologico #Terapia #psicoterapia #psicología #terapia","#Psicologia, #relacionamento, #relacao, #abusopsicologico, #Terapia, #psicoterapia, #psicología, #terapia"
195,2021-04-07,Remodelar o padrão das relações sociais é reordenar as coordenadas do mundo experimentado. As formas da sociedade são a substância da cultura. Clifford Geertz  #psicologia #psicoterapia #frases #quotes #psicologo,"#psicologia, #psicoterapia, #frases, #quotes, #psicologo"
200,2021-04-06,"As vezes a gente morre de medo de perder uma pessoa, mas quando acaba vê que foi a melhor coisa que poderia ter acontecido. - Amanda Fitas  #Terapia #Psicologia #psicoterapia #amor #relacionamentos","#Terapia, #Psicologia, #psicoterapia, #amor, #relacionamentos"
209,2021-04-05,Berço da necro-política. Impossível ficar bem nesse contexto. O social é muito importante também. Sem o social as dimensões bio e psico ficam capengas. (2/2) #psicologia #psicoterapia #psisocial  #negacionismo #Genocida #necropolítica #ImpeachmentDeBolsonaroUrgente #ForaGuedes,"#psicologia, #psicoterapia, #psisocial, #negacionismo, #Genocida, #necropolítica, #ImpeachmentDeBolsonaroUrgente, #ForaGuedes"
210,2021-04-05,verbo importante ao aparecer em #psicoterapia: ressarcir,#psicoterapia
248,2021-04-01,Sim! Ta certo! É isso mesmo! Psicoterapia é coisa de Louco de Doido e de Fraco!  É também frescura e não tem resultados maravilhosos!  Não façam! Muito menos comigo...  #AprilFoolsDay #1DeAbril #Psicoterapia,"#AprilFoolsDay, #1DeAbril, #Psicoterapia"
253,2021-03-31,"Se alguém ai quiser formar un Cartel, manda uma DM!  #piscanálise #psicanalistas #lacan #freud #terapia #psicoterapia #SessaodeTerapia #psi #psicologia #cartel #carteis #cartelpsicanálise","#piscanálise, #psicanalistas, #lacan, #freud, #terapia, #psicoterapia, #SessaodeTerapia, #psi, #psicologia, #cartel, #carteis, #cartelpsicanálise"
255,2021-03-31,"""O sentir é particular""  #psicologia #psicoterapia","#psicologia, #psicoterapia"
262,2021-03-30,Obrigado Big Brother pela valorização da Psicoterapia. Psicoterapia é com Psicólogo. #psicoterapia #BBB21 #bbb #ParedaoBBB #projota #thais #pocah #juliette #sarah #bbb21aovivo #gildovigor #fiuk #arthurpicoli #TeamJuliette #TeamFiuk #TeamGil #TeamSarah  #euliette,"#psicoterapia, #BBB21, #bbb, #ParedaoBBB, #projota, #thais, #pocah, #juliette, #sarah, #bbb21aovivo, #gildovigor, #fiuk, #arthurpicoli, #TeamJuliette, #TeamFiuk, #TeamGil, #TeamSarah, #euliette"
263,2021-03-30,BBB ressaltando a importância de se fazer terapia! ❤️  #BBB21 #psicoterapia #SaudeMental,"#BBB21, #psicoterapia, #SaudeMental"
264,2021-03-30,que especial o #bbb21 falar tão abertamente sobre TERAPIA! sobre psicologia. como eu queria que todo mundo tivesse a oportunidade de fazer terapia ❤️🥰❤️🥰❤️ #psicoterapia #redebbb,"#bbb21, #psicoterapia, #redebbb"
265,2021-03-30,Errou?  elabore sua culpa e o outro elabora a decepção que você causou. Já adianto que elaborar decepção é menos sofrido. E se você não sente culpa.. tenho uma péssima notícia pra você. #psicoterapia,#psicoterapia
266,2021-03-30,"Os dias já estão pesados demais! Espalhe o amor, empatia, espalhe sentimentos bons, não se tornem frios em meio todo esse caos. Sinta! Fale! Se expresse! Esteja presente como puder, o máximo que puder! #COVID19 #pandemia #ansiedade #PsicologíaClínica #psicoterapia","#COVID19, #pandemia, #ansiedade, #PsicologíaClínica, #psicoterapia"
278,2021-03-28,"Você quer que a vida siga como era antes, mas será que antes você estava de fato vivendo,  ou estava meramente existindo? #psicologia #PsicologíaClínica #psicoterapia","#psicologia, #PsicologíaClínica, #psicoterapia"
307,2021-03-25,Bom dia pra quem já acordou com problemas da família na mente chegando pelo zap. É nisso que eu vou focar depois que conseguir treinar minha mente conta os maus pensamentos. #Psicologo #psicologia #Psicoterapia,"#Psicologo, #psicologia, #Psicoterapia"
317,2021-03-24,"Tem coisas que é simples, a gente que insiste em não acreditar e lá na frente... Acaba doendo em dobro.   Trecho do livro Detox emocional   #psicoterapia #saudemental #autoestima #Psicología","#psicoterapia, #saudemental, #autoestima, #Psicología"
322,2021-03-24,"Auto cuidado vai muito além de cabelo hidratado, uma pele hidratada, rotina de skincare em dia. É dar a você, a mesma atenção que você dá aos outros. Vai muito além da estética.  #psicoterapia #autocuidado #menteabierta #equilibrioemocional","#psicoterapia, #autocuidado, #menteabierta, #equilibrioemocional"
334,2021-03-23,"Quem tem depressão/ansiedade sabe...os monstrinhos da mente ficam doidos pra sair a qualquer momento, só precisa de uma faísca.  E conviver com quem não se trata adequadamente (psicoterapia), só atrasa o processo.   Forças pra nós.   #Ansiedade #Depressão #Psicoterapia #BomDia","#Ansiedade, #Depressão, #Psicoterapia, #BomDia"
342,2021-03-20,toda gratidão eu tenho pelos meus médicos que me acompanham  eu me sinto cuidada e aprendi muito sobre mim mesma nos últimos 6 meses #psicoterapia #borderlinepersonalitydisorder,"#psicoterapia, #borderlinepersonalitydisorder"
371,2021-03-16,"Mainha tá fazendo terapia há meses e eu já observei que ela tá menos estressada. Comentei e ela falou: me sinto menos estressada mesmo, minha psicóloga Tb notou. Quando a mudança é real. #Psicoterapia é vida 🌷❣️🥰",#Psicoterapia
380,2021-03-15,Muitos psicólogos também costumam classificar o luto em etapas. 1️⃣Negação 2️⃣Raiva 3️⃣Negociação 4️⃣Depressão 5️⃣Aceitação  #luto #psicologia #fortaleza #psicoterapia,"#luto, #psicologia, #fortaleza, #psicoterapia"
383,2021-03-15,"To procurando bons perfis de Psicólogos (homens) no insta, me ajuda ai se vc leu. #Psicoterapia #Psicologia","#Psicoterapia, #Psicologia"
403,2021-03-11,"E há ainda aqueles que nunca aprenderam à fazer uma limonada, você já pensou nisso?  Portanto, cuide-se!   #psicoterapia #psicologia #resiliencia #pandemia #coronavirus #covid19","#psicoterapia, #psicologia, #resiliencia, #pandemia, #coronavirus, #covid19"
412,2021-03-09,Coloque aqui o que você entende sobre fazer terapia 👇🏾#psicoterapia,#psicoterapia
438,2021-03-05,Um relacionamento que eu torço para dar certo é entre minha MENTE e EU.   #psicologia #psicoterapia #terapia #saudemental #amor #autoconhecimento #vida #amorproprio #autoestima #ansiedade,"#psicologia, #psicoterapia, #terapia, #saudemental, #amor, #autoconhecimento, #vida, #amorproprio, #autoestima, #ansiedade"
447,2021-03-03,"Venha, desbravar-se... a psicoterapia é uma jornada de autoconhecimento e, consequentemente, de autocuidado. Aventure-se em si mesmo e floresça!  #psicologia #psicanalise #psicoterapia #autoconhecimento #autocuidado #saudeemocional #saudemental #crescimentopessoal #criatividade","#psicologia, #psicanalise, #psicoterapia, #autoconhecimento, #autocuidado, #saudeemocional, #saudemental, #crescimentopessoal, #criatividade"
452,2021-03-02,"quando você tenta “forçar” gostar da pessoa, pq ela é maravilhosa mas você não consegue pq algo está errado em você #psicoterapia",#psicoterapia
454,2021-03-02,No sentir nada como forma de evitar el dolor. #Psicologia #psicoterapia #apego #EMDR,"#Psicologia, #psicoterapia, #apego, #EMDR"
456,2021-03-02,"""Quando eu acordo e lembro que é dia de terapia! Alguém mais acorda assim?"" #saúdemental #psicoterapia","#saúdemental, #psicoterapia"
482,2021-02-26,"Uma frase que é muito usada pra perpetuar abusos: ""pare de se fazer de vítima"".  A gente já sabe que reagir, enfrentar situações, faz bem.  Essa frase silencia muita coisa.  Parem vcs de normalizar violência psicológica. #saudemental #psicoterapia","#saudemental, #psicoterapia"
