,date,tweet,hashtags
0,2021-04-30,Você sabia que as pessoas tem o direito de não concordar com voce?  #frasesmotivavionais #terapiaonline #emoções #psicologia,"#frasesmotivavionais, #terapiaonline, #emoções, #psicologia"
13,2021-04-17,O hoje é um presente abra e se alegre com o que receber.  #Keepi2gether #kudissangametod #saudeemocional #CanalBomSenso #perdao #família #terapiaonline #saudesexual #AulaMagnax2 #2entre4Paredes #escolhiserfeliz #Euk #sexólogo,"#Keepi2gether, #kudissangametod, #saudeemocional, #CanalBomSenso, #perdao, #família, #terapiaonline, #saudesexual, #AulaMagnax2, #2entre4Paredes, #escolhiserfeliz, #Euk, #sexólogo"
14,2021-04-14,"“Cada vez que estamos conectadas com nós mesmas, vivemos bem e lidamos melhor com os obstáculos da vida”. 🌻💐🕊⚓️ #liberdade #autocuidado #amorproprio #terapiaonline #niteroi","#liberdade, #autocuidado, #amorproprio, #terapiaonline, #niteroi"
15,2021-04-14,"Reflexões 🌸  ""Pare de se odiar pelo que você não é, e comece a se amar pelo que é .""   #facaterapia #terapia #terapiaonline #Psicologia","#facaterapia, #terapia, #terapiaonline, #Psicologia"
17,2021-04-10,🙋🏽‍♀️Você gostaria de se curar com minhas experiências?🙋🏻‍♂️ 👨🏻‍💻Atendimento Online📲  Aguardo sua ligação ☎️  #TerapiaIntensiva #TerapiaOnline #SejaVoceMesmo #DiversasTecnicas #InvistaNoSeuSucesso,"#TerapiaIntensiva, #TerapiaOnline, #SejaVoceMesmo, #DiversasTecnicas, #InvistaNoSeuSucesso"
20,2021-04-06,"Por que deveríamos desejar a complexidade de uma felicidade surreal e inalcançável, quando na verdade, podemos ficar com o ""simples"" e o palpável da vida como ela é?  #psicanalise #espaçodeescuta #terapiaonline #denisepsicanalista #atendimentopsicanalitico","#psicanalise, #espaçodeescuta, #terapiaonline, #denisepsicanalista, #atendimentopsicanalitico"
24,2021-04-03,"E vocês que vivem reclamando de autoestima no tt, ou do quanto andam tristes, desanimados, com vontade de morrer ou sei lá, por favor procurem ajuda profissional.  Minha perspectiva de vida melhorou bastante fazendo terapia. ❤️  #terapiaonline #busqueajuda","#terapiaonline, #busqueajuda"
25,2021-03-31,Aparentemente eu falei alto p kct na #terapiaonline q TD mundo aqui em casa ouviu 🤩🤩🤩🤩 caralho como eu amo existir,#terapiaonline
36,2021-03-23,"Descobri que terapia on-line não é o que me cansa. O que cansa mesmo é o Home Office. Mas, vou fazer a minha parte e atender o máximo que puder de casa. Psi também tem de trabalhar a flexibilidade. 😉 #terapiaonline #HomeOffice #fiqueemcasa #pandemia #COVIDー19","#terapiaonline, #HomeOffice, #fiqueemcasa, #pandemia, #COVIDー19"
46,2021-03-05,Amo trabalhar em casa quando está chovendo!  #terapiaonline,#terapiaonline
51,2021-03-02,Ser terapeuta é muito massa: cê fala várias coisas e vai prestando atenção em tudinho também...  #terapiaonline,#terapiaonline
52,2021-03-01,"A liberdade não chega até você, ela parte de você! #busquemudanças #psicólogaonline #terapiaonline","#busquemudanças, #psicólogaonline, #terapiaonline"
55,2021-02-26,"Obrigada pelos RTs pessoal! Tem agenda aberta quinta e sexta tb. Quinta à noite, pra quem precisar de um horário alternativo.  #terapiaonline #cadastradanoepsi","#terapiaonline, #cadastradanoepsi"
63,2021-02-23,Os problemas que vivemos são causados por nós mesmo ou podemos dar crédito a outras pessoas? #terapiaonline,#terapiaonline
67,2021-02-16,"Feliz dia de Carnaval! Lembre-se: É importante aceitar as suas emoções, e não mascará-las. Esse é o primeiro passo para o caminho do autoconhecimento. 🛤 #Carnaval2021 #saudemental #terapiaonline","#Carnaval2021, #saudemental, #terapiaonline"
70,2021-02-11,Tomar decisões não tem a ver com ter certezas! #psi #psicoterapia #terapiaonline #terapia #gestalt,"#psi, #psicoterapia, #terapiaonline, #terapia, #gestalt"
73,2021-02-08,Nunca permita que a imaginação limitada dos outros limite você.   #psicologia #saudemental #saudeemocional #amorproprio #autoestima #autoconhecimento #autoaceitacao #autoestimaelevada #amorpróprio #autocompaixão #saúdemental #psicologoonline #terapiaonline,"#psicologia, #saudemental, #saudeemocional, #amorproprio, #autoestima, #autoconhecimento, #autoaceitacao, #autoestimaelevada, #amorpróprio, #autocompaixão, #saúdemental, #psicologoonline, #terapiaonline"
