,date,tweet,hashtags
0,2021-04-28,"Referência: Wright, J. H., Basco, M. R., &amp; Thase, M. E. (2008). Aprendendo a terapia cognitivo-comportamental: um guia ilustrado. Porto Alegre: Artmed.  #psicologia #psicoterapia  #saúde #mente #saúdemental  #transtornosdeansiedade #transtornodeansiedade #ansiedade","#psicologia, #psicoterapia, #saúde, #mente, #saúdemental, #transtornosdeansiedade, #transtornodeansiedade, #ansiedade"
1,2021-04-19,"""Não sou de vidro, mas me quebro fácil. Ninguém percebe os estilhaços, porque é para o lado de dentro que se espalham todos os cacos.""  - Boa noite 🌠 #TranstornodeAnsiedade",#TranstornodeAnsiedade
2,2021-04-17,Legalizar a maconha é legalizar a planta que fez com que eu não me matasse hoje.  #LegalizeOplantio #TranstornoDeAnsiedade #CannabisSalva #MaconhaCura,"#LegalizeOplantio, #TranstornoDeAnsiedade, #CannabisSalva, #MaconhaCura"
3,2021-04-07,"O drama da mulher ansiosa que finalmente conseguiu sair de casa, tá feliz da vida deitada na grama embaixo das árvores, mas tá esfriando, já tá roxa, e não consegue levantar pra voltar pra casa porque não sabe quando conseguirá sair de novo. #transtornodeansiedade",#transtornodeansiedade
4,2021-04-07,E seguimos... #transtornodeansiedade,#transtornodeansiedade
5,2021-04-06,Ansiosa pra conseguir dormir X Não consigo dormir porque tô ansiosa.  #ansiedade #transtornodeansiedade,"#ansiedade, #transtornodeansiedade"
6,2021-01-28,As vezes tenho vontade de me isolar do mundo .. #toc #transtornodeansiedade,"#toc, #transtornodeansiedade"
7,2021-01-19,Viver com ansiedade é como ter experiência em lutar contra a morte durante longos minutos e conseguir sair vitoriosa 💪🏻  #ansiedade #vivercomansiedade #lidarcomansiedade #transtornodeansiedade,"#ansiedade, #vivercomansiedade, #lidarcomansiedade, #transtornodeansiedade"
8,2021-01-13,Seja sua melhor versão!  -&gt; Nos próximos posts explicarei os diversos transtornos de ansiedade.  #saudemental #ansiedade #transtornodeansiedade #terapiaonline #errejota #psicologia #psiquiatria,"#saudemental, #ansiedade, #transtornodeansiedade, #terapiaonline, #errejota, #psicologia, #psiquiatria"
9,2020-12-06,Não é fácil #transtornodeansiedade  #fantastico parei meu tratamento desde o início da pandemia 😩 consultas nunca mais 😭,"#transtornodeansiedade, #fantastico"
10,2020-12-05,9 - comparar com frequência a própria vida com a de outras pessoas da mesma faixa etária.  10 -  gastar mais tempo remoendo um erro do que buscando soluções. #transtornodeansiedade #saúdemental,"#transtornodeansiedade, #saúdemental"
16,2020-12-01,"Acabei de ter um ATAQUE DE PÂNICO.. SIIIMM.. Estou no trabalho, a mente estava ocupada 🤷‍♀️ Mas isso não impediu da crise vir.. Tem semana que ela me aparece todos os dias 😤 Não precisa ter um motivo, APENAS VEM! #tag #transtornodeansiedade #ataquedepanico #ansiedade #desabafo","#tag, #transtornodeansiedade, #ataquedepanico, #ansiedade, #desabafo"
17,2020-11-18,"Meu desejo, é q isso passe. Que tudo isso passe, q eu tenha a minha vida de volta. Com muita paz, eu quero ter paz. N quero ser só mais uma estatística. #ansiedade #transtornodeansiedade #depressao #queroviver","#ansiedade, #transtornodeansiedade, #depressao, #queroviver"
18,2020-11-12,"Impressionante que sempre tem algo pra infernizar a gente, né?! Ainda mais pra nós que temos Transtorno de Ansiedade Generalizada.  #transtornodeansiedade  #ansiedade","#transtornodeansiedade, #ansiedade"
19,2020-11-08,"Quando vc se vê entre duas doenças que te tira a paz , vc não vive , vc vegeta perto das pessoas, pois vc lembra como era e como se tornou , tudo por causa de uma coisa que te deixa sem autonomia pra tentar fazer seu filho ter respeito p/ti. 😪  #TRANSTORNODEANSIEDADE #DEPRESSÃO","#TRANSTORNODEANSIEDADE, #DEPRESSÃO"
20,2020-10-17,"A vida é 5% legal, 5% horrível e 90% sem sentido. . #depressao #ansiedade #transtornobipolar #transtornodeansiedade #borderline #saudemental","#depressao, #ansiedade, #transtornobipolar, #transtornodeansiedade, #borderline, #saudemental"
23,2020-09-07,Bora me ajudar a divulgar essa causa? 👊🏻💖  #centrodevalorizaçãodavida #valorizacaodavida #suicidio #prevencaoaosuicidio #combateaosuicidio #depressaotemcura #depressaonaoefrescura #sindromedopanico #transtornodeansiedade #setembroamarelo #saudemental #amoraopróximo,"#centrodevalorizaçãodavida, #valorizacaodavida, #suicidio, #prevencaoaosuicidio, #combateaosuicidio, #depressaotemcura, #depressaonaoefrescura, #sindromedopanico, #transtornodeansiedade, #setembroamarelo, #saudemental, #amoraopróximo"
24,2020-09-03,"Com esse #transtornodeansiedade não consigo ficar parada, parece que até dormindo tô acordada!",#transtornodeansiedade
25,2020-08-31,"Eu nunca vou esquecer, de quem está aqui por mim, e permanece do meu lado quando ninguém mais ficou. LEALDADE É TUDO! #transtornodeansiedade #sindromedopanico","#transtornodeansiedade, #sindromedopanico"
27,2020-08-13,Você sofre com Transtorno de Ansiedade? #Ansiedade #Transtornodeansiedade,"#Ansiedade, #Transtornodeansiedade"
30,2020-08-06,"Quando tá tudo dando certo, bate aquele medo desgraçado que te faz travar 🙄 #ansiedade #transtornodeansiedade","#ansiedade, #transtornodeansiedade"
34,2020-07-05,"Aquele momento em tudo está em perfeita ordem, mas aí bate a ansiedade só pelo fato de não estar fazendo nada.   #Ansiedade #TranstornodeAnsiedade","#Ansiedade, #TranstornodeAnsiedade"
38,2020-06-22,"Insônia, enxaqueca, herpes... tá phoda. N sei mais do que reclamar #transtornodeansiedade",#transtornodeansiedade
42,2020-06-14,Já tiveram crise de ansiedade? Geralmente começa com falta de ar e o coração acelerado. E tentar se auto acalmar é muito desesperador. #transtornodeansiedade,#transtornodeansiedade
43,2020-06-10,"Já não tava bem, agora piorou. E cada dia que passa parece q tá piorando mais..  #transtornodeansiedade",#transtornodeansiedade
44,2020-06-10,Tomei tanto Rivotril ontem que eu ainda estou com sono e quero dormir o dia todo.  #crise #transtornodeansiedade #ansiedade #sindromedopanico #depressao #tag,"#crise, #transtornodeansiedade, #ansiedade, #sindromedopanico, #depressao, #tag"
45,2020-05-30,"Quantas vezes já ouvi pessoas falando que #ansiedade é frescura, que não existe, que é falta de Deus e tantas outras diminuindo o transtorno como se ele fosse algo inventado pela pessoa que sofre!? Ansiedade não é frescura! #transtornodeansiedade #euansiosa #euansioso #informação","#ansiedade, #transtornodeansiedade, #euansiosa, #euansioso, #informação"
46,2020-05-24,Ansiedade é você se importar por tudo! Depressao é você se importar com nada.... Os dois um inferno!!!!! #depression #depressao #transtornodeansiedade #ansiedade #vidaadulta #solidao #medo #angustia,"#depression, #depressao, #transtornodeansiedade, #ansiedade, #vidaadulta, #solidao, #medo, #angustia"
47,2020-04-30,"@Lorrance Some sim, deixa de sumir não, mas já aviso, tem que aguentar meu #pessimohumor &amp; #transtornodeansiedade","#pessimohumor, #transtornodeansiedade"
48,2020-04-11,Acho que meus parafusos da cabeça estão soltando tudo .🤦🏽‍♀️ Estou doída com essa quarentena . #TranstornoDeAnsiedade #Quarentena #MeuDeus #MeAjude,"#TranstornoDeAnsiedade, #Quarentena, #MeuDeus, #MeAjude"
49,2020-03-25,"Um simples como estão as coisas mudam a vida das pessoas!!! Cuide dos seus amigos, mandem msgs de apoio , sempre tem alguém precisando ouvir : Como você está? #transtornodeansiedade #ansiedadenaoefrescura #ansiedade  #depressao","#transtornodeansiedade, #ansiedadenaoefrescura, #ansiedade, #depressao"
50,2020-03-25,"Oi, tudo bm? Para vc que tem #transtornodeansiedade #depressão e #sindromedopanico não fazemos parte do grupo de risco pela nossa condição. Não se preocupe, tá? Mas é importante continuar tomando a medicação e ficar em casa. Combinado? Tbm somos capazes de combater essa pandemia!","#transtornodeansiedade, #depressão, #sindromedopanico"
