date,tweet,label
2014-03-06,tentando terminar os trabalhos de  :/  me endoidando!  xd.,
2014-03-10,"fortalecer a  e a , pede um plano de trabalho, assim como fazemos em nosso  .",
2014-03-11,"fico me perguntando pq antes os jovens tinham vergonha de tirar foto fumando, com bebida na mao...agora eles acham bonito :'( ",
2014-03-11,"televisao e facebook, coisas que nao fazem falta .",
2014-03-12,"diva, tambem conhecido como: livraria, drogastore e supermercado.  ",
2014-03-15,"""a verdade e sempre melhor que a mentira, mesmo que seja mais dificil de conviver""  ",
2014-03-17,centro de valorizacao da vida de franca precisa de voluntarios para ampliar horario de atendimento.o cvv atende pelos fones 141 e 3721-4111.,
2014-03-18,"to tentando assistir  , so assisto as sessoes da carol. mas a pessoa linda nao postou a penultima sessao dela.",
2014-03-20,o que eu colocar no meu portifolio de saude mental ? sendo que nao gosto de nem estar la .,
2014-03-23,theo e dora em  e sempre de arrepiar.,
2014-03-24,marcelo vai emendar dois programas seguidos: do  vai direto pro  no,
2014-03-25,lagrimas e lagrimas aqui para a despedida do claudio cavalcanti em  lindo!!!!,
2014-03-25,que falta faz  nas minhas noites!!  logo!!!,
2014-03-25,"rio madeira continua subindo e chega ao nivel de 19,61m..  ",
2014-03-26,denuncie o  moral no trabalho. o silencio fortalece o assediador,
2014-03-30,"a pessoa me xinga e depois me retwitta... ta, ne. ",
2014-04-01,por que dele e por ele sao todas as coisas.,
2014-04-01,os usuarios de saude mental estao arrasando nas falas!,
2014-04-02,"explicou tudo! "":  acabei de descobrir porque sou meio mongol :/  = """,
2014-04-02,acabei de descobrir porque sou meio mongol :/  =,
2014-04-05," ""precisa de ajuda? no brasil, ligue 141 centro de valorizacao da vida""  heaeahiuaeiheaiheahiua",
2014-04-06,daqui a pouco ir dormir amanha tem nova materia  ..,
2014-04-07,7 de abril dia mundial da  que significa para vos este concepto?,
2014-04-07,liberte-se de tudo que te faz ficar sentado viva fora da bolha,
2014-04-09,nossa nem me diga bi,
2014-04-11,"eapero tudo de um ser humano, que nada me surpreende, quando digo nada, e nada mesmo ",
2014-04-11,psicologando... amo! =],
2014-04-15,"""e muito simples, ou voce bate, ou voce apanha"" lispector, breno   ",
2014-04-19,estou preste a ir comprar meu kimono,
2014-04-21,ii workshop economia e : impacto socio econ transt mentais no  inscricoes cesmunifesp@gmail.com,
2014-04-22," concordo, a preservacao do patrimonio e tao importante quanto a sua conquista. ",
2014-04-23,meu nome e raphael e estou ha 10 dias sem comer chocolate. ainda to vivo.,
2014-04-24,a bianca comparato raspou o cabelo pra um episodio do,
2014-04-25,"gula deveria ter fim, um fim descomunal antes da culpa, balizada antes da vontade de comer, com solucao a frente da compulsao. ",
2014-04-26,"sobre a palestra do doutor jackson sampaio, reitor da uece: sem palavras, apenas maravilhada! ",
2014-04-26,"amanha apos o ccd, as10:30h teremos uma reuniao com os presidentes das sociedades internas. ",
2014-04-29,assistindo jogo do real madri com meus pacientes!   # maisumdiasefoi ...  http://t.co/lgxiefyavy,
2014-04-29,acredito que se eu postar mil posts eles travam minha senha e me encaminham pro centro de valorizacao da vida,
2014-04-30,"""o melhor presente que voce pode dar a alguem e a qualidade da sua presenca"".   ",
2014-05-05,"""dentro de um suicida, ha alguem querendo viver.""  em campanha do centro de valorizacao da vida, cartas de suicidas sao reescritas, criando",1
2014-05-07,amigos e familia  com vcs  mateus henrique romain tbm se importa,
2014-05-07,esta voltando!!! excelente noticia. parabens,
2014-05-09,"esta bom de  por hoje , me deixaram com fome, mas vou dormir , que tenho que acordar cedo :**",
2014-05-13,nao tirei foto no,
2014-05-13,super empolgado com a abertura das novas turmas.  e,
2014-05-13,kkkkkkkkkkkkkkkkkkkkkkkkkkkk minha querida vc ta precisando ligar pro cvv (centro de valorizacao da vida),
2014-05-16,com o desemprego em brasilia. o  deveria criar situacoes e postos de trabalho para atender o povo de brasilia.,
2014-05-16,"e vamos trabalhar!! fazer o que ama :) bom dia, bom dia!!! ",
2014-05-17,"procurei suicidio no google apareceu isso: ""precisa de ajuda? no brasil, ligue 141 centro de valorizacao da vida"" - obg google",
2014-05-19,"nao aguento esse povo q diz q nao se importa,mas nao para d falar do assunto. ""eu n me importo"" para d palhacada ",
2014-05-19,momento .. nao questione..,
2014-05-19,lanchamos agora vamos fazer a atividade com os nossos pacientes que convidamos a vim a uesb.,
2014-05-20,"deus ama almas, se somos cristaos precisamos ter esse amor no coracao!  .",
2014-05-20,policia civil do df fara paralisacao amanha das 08 as 23: 59 horas. so serao atendidos os casos graves e de flagrante delito.,
2014-05-23,vc sabe que ta mal quando o google sugere voce ligar para o centro de valorizacao da vida!,
2014-05-25,na audiencia sobre  e   deu sua opiniao: fomentar politicas contra drogas + conscientizacao e prevencao...,
