,date,tweet,label
39,2014-05-05,"""dentro de um suicida, ha alguem querendo viver.""  em campanha do centro de valorizacao da vida, cartas de suicidas sao reescritas, criando",1.0
227,2014-09-24,".... confira, retuitem e sigam  e juntem-se ao movimento!!!!!! ",0.0
228,2014-09-26,e me mandaram p central d ajuda da cvv (centro de valorizacao a vida),1.0
229,2014-09-28,terminei de ler  agora vou partir para,0.0
230,2014-09-28,"sabia que se vc digitar ""suicide"" no google aparece o telefone do centro de valorizacao da vida ? palmas.",1.0
231,2014-09-28,estar empatico ao outro nao e ser simpatico,0.0
232,2014-10-01,luis fabiano na proxima temporada de sessao de terapia.,0.0
233,2014-10-01,hoje a experiencia no caps foi otima. aprendi a fazer ponto cruz.,0.0
234,2014-10-01,passei em ... !que venha o proximo estagio,0.0
235,2014-10-09,"""as vezes, para se aproximar e preciso primeiro tomar distancia.""   ",0.0
236,2014-10-10,"""juntos podemos proporcionar esperanca a todos que sofrem de esquizofrenia e outras doencas mentais graves"" ban ki-moon ",1.0
237,2014-10-10,- como vai a sua?         iv encontro de saude mental de jaragua do sul e iii encontro de saude mental dos municipios da amvali,1.0
238,2014-10-10,vou ligar pro centro de valorizacao da vida,1.0
239,2014-10-10,seja sua propria luz.   be your own light.,0.0
240,2014-10-14,ver o ravel na novela da globo e lembrar do diego &gt;&lt;  o saudade da,0.0
241,2014-10-15,venha dividir seu tempo com quem precisa dividir sentimentos! o centro de valorizacao da vida (cvv) de sao goncalo-rj esta oferecendo o...,1.0
242,2014-10-16,cansada hj medico... amanha  dias agitados ultimamente.... -- se sentindo cansada,0.0
243,2014-10-16,nilsa madsen explica o trabalho realizado no centro de valorizacao da vida.,1.0
244,2014-10-17," 3321-4111 cvv centro de valorizacao da vida reclame, valorizamos sua reclamacao.",1.0
245,2014-10-20,"busque ajuda! quanto mais tardio o tratamento,  mais distante seu filho vivera de todos.     ",0.0
246,2014-10-22,"o exercicio e um , e pode ajudar a mante-lo mentalmente saudavel.  ",0.0
247,2014-10-23,odeio leis ! se eu gostasse tinha ido para advogada. nao fui pois nao?,0.0
248,2014-10-24,bom dia! e hoje,0.0
249,2014-10-27,"boa noite, migos     ",0.0
250,2014-10-27,quase 18 mil tts para nao!!!!,0.0
251,2014-10-27,"gente, da uma forcinha  ",0.0
252,2014-10-27,"acho q n e p falar da causa da morte da clara, porem as pessoas precisam saber o quanto e grave a depressao!  ",1.0
253,2014-10-28," ola, podes ajudar a esta campanha, pfv? obrigada e sucesso!   ",0.0
254,2014-10-28,"galera usem a tag  e  e por uma boa causam, ajuda plss",0.0
255,2014-10-28," e voce merece uma homenagem linda, ate pq ",0.0
256,2014-10-28,"""como e que eu faco agora? como e que eu faco pra dar sentido pra uma vida que so parece ter sentido com voce?"" ",0.0
257,2014-10-28,continuando na campanha pela homenagem a clara e lembrando que,0.0
258,2014-10-28,apoio!,0.0
259,2014-10-29,me deixa,0.0
260,2014-10-29,hoje e o dia mundial do ave,0.0
261,2014-10-29,beijo,0.0
262,2014-10-29,vou dormir bjs,0.0
263,2014-10-29,como lidar c luiz felipe c ciume de thalitinha?  #arcticmonkeyslovesyouclara,0.0
264,2014-10-29,bom dia!,0.0
265,2014-10-29,boraa,0.0
266,2014-10-30,"certas coisas a gnt joga no mar do esquecimento, e se alguem voltar ao assunto finja que nao lembra ;) ",0.0
267,2014-10-31,dia de apresentar o trabalho de dependencia quimica,0.0
328,2015-02-26,so os loucos conseguem me entender.,0.0
329,2015-03-02,"que legal, quando digita suicidio no google aparece o nome do centro de valorizacao da vida",1.0
330,2015-03-02,vale a pena conferir!,0.0
331,2015-03-03,amando minha facul de psicologia.!!,0.0
332,2015-03-04," nao se suicide, ligue para 141: centro de valorizacao da vida. nao quero nenhum idiota me processando porque o filhinho (...) wtf",1.0
333,2015-03-04,"bom dia pra quem acordou tendo que ir trabalhar la ma taquara, pertinho!         ",0.0
334,2015-03-06,"oficialmente voluntario do projeto pibex ""cuidando do cuidador"" da prof. dra aline beckmann!   ",0.0
335,2015-03-06,a  presso,0.0
370,2015-05-06,melhor lugar do mundo: celula,0.0
371,2015-05-08,"centro de valorizacao da vida (cvv), telefone 141",1.0
372,2015-05-12,gente a dora vai voltar,0.0
373,2015-05-12,galera da espocc no lancamento da campanha jovem negro vivo.  fotos: lucas jatoba,0.0
374,2015-05-17,"nao leve seus problemas emocionais para a sociedade. faca . se nao sua vida virara um poco sem fundo, uma avalanche.",1.0
375,2015-05-25,; ali estaremos para seguir compartindo e aprendendo sobre  e,0.0
376,2015-05-25,"- ""alo, centro de valorizacao da vida"" -eu nao aguento mais ser fa do asking me ajudem",0.0
377,2015-05-28,consultar um psicologo e uma atitude de coragem. ligue no (0xx11) 3101-8449 e agende seu horario.,1.0
378,2015-05-28,isabel em,0.0
379,2015-06-05,pesquisei como cometer suicidio no google e mostraram o numero do centro de valorizacao da vida ai n mereco,1.0
380,2015-06-06,"crise financeira significa todas linhas do centro de valorizacao da vida sempre ocupadas. mas brasileiro e um povo alegre e festivo, neam?",1.0
381,2015-06-07,ufa! fui e voltei. sem traumas.,0.0
