,date,tweet,label
0,2014-03-06,tentando terminar os trabalhos de  :/  me endoidando!  xd.,
1,2014-03-10,"fortalecer a  e a , pede um plano de trabalho, assim como fazemos em nosso  .",
2,2014-03-11,"fico me perguntando pq antes os jovens tinham vergonha de tirar foto fumando, com bebida na mao...agora eles acham bonito :'( ",
3,2014-03-11,"televisao e facebook, coisas que nao fazem falta .",
4,2014-03-12,"diva, tambem conhecido como: livraria, drogastore e supermercado.  ",
5,2014-03-15,"""a verdade e sempre melhor que a mentira, mesmo que seja mais dificil de conviver""  ",
6,2014-03-17,centro de valorizacao da vida de franca precisa de voluntarios para ampliar horario de atendimento.o cvv atende pelos fones 141 e 3721-4111.,
7,2014-03-18,"to tentando assistir  , so assisto as sessoes da carol. mas a pessoa linda nao postou a penultima sessao dela.",
8,2014-03-20,o que eu colocar no meu portifolio de saude mental ? sendo que nao gosto de nem estar la .,
9,2014-03-23,theo e dora em  e sempre de arrepiar.,
10,2014-03-24,marcelo vai emendar dois programas seguidos: do  vai direto pro  no,
11,2014-03-25,lagrimas e lagrimas aqui para a despedida do claudio cavalcanti em  lindo!!!!,
12,2014-03-25,que falta faz  nas minhas noites!!  logo!!!,
13,2014-03-25,"rio madeira continua subindo e chega ao nivel de 19,61m..  ",
14,2014-03-26,denuncie o  moral no trabalho. o silencio fortalece o assediador,
15,2014-03-30,"a pessoa me xinga e depois me retwitta... ta, ne. ",
16,2014-04-01,por que dele e por ele sao todas as coisas.,
17,2014-04-01,os usuarios de saude mental estao arrasando nas falas!,
18,2014-04-02,"explicou tudo! "":  acabei de descobrir porque sou meio mongol :/  = """,
19,2014-04-02,acabei de descobrir porque sou meio mongol :/  =,
20,2014-04-05," ""precisa de ajuda? no brasil, ligue 141 centro de valorizacao da vida""  heaeahiuaeiheaiheahiua",
21,2014-04-06,daqui a pouco ir dormir amanha tem nova materia  ..,
22,2014-04-07,7 de abril dia mundial da  que significa para vos este concepto?,
23,2014-04-07,liberte-se de tudo que te faz ficar sentado viva fora da bolha,
24,2014-04-09,nossa nem me diga bi,
25,2014-04-11,"eapero tudo de um ser humano, que nada me surpreende, quando digo nada, e nada mesmo ",
26,2014-04-11,psicologando... amo! =],
27,2014-04-15,"""e muito simples, ou voce bate, ou voce apanha"" lispector, breno   ",
28,2014-04-19,estou preste a ir comprar meu kimono,
29,2014-04-21,ii workshop economia e : impacto socio econ transt mentais no  inscricoes cesmunifesp@gmail.com,
30,2014-04-22," concordo, a preservacao do patrimonio e tao importante quanto a sua conquista. ",
31,2014-04-23,meu nome e raphael e estou ha 10 dias sem comer chocolate. ainda to vivo.,
32,2014-04-24,a bianca comparato raspou o cabelo pra um episodio do,
33,2014-04-25,"gula deveria ter fim, um fim descomunal antes da culpa, balizada antes da vontade de comer, com solucao a frente da compulsao. ",
34,2014-04-26,"sobre a palestra do doutor jackson sampaio, reitor da uece: sem palavras, apenas maravilhada! ",
35,2014-04-26,"amanha apos o ccd, as10:30h teremos uma reuniao com os presidentes das sociedades internas. ",
36,2014-04-29,assistindo jogo do real madri com meus pacientes!   # maisumdiasefoi ...  http://t.co/lgxiefyavy,
37,2014-04-29,acredito que se eu postar mil posts eles travam minha senha e me encaminham pro centro de valorizacao da vida,
38,2014-04-30,"""o melhor presente que voce pode dar a alguem e a qualidade da sua presenca"".   ",
40,2014-05-07,amigos e familia  com vcs  mateus henrique romain tbm se importa,
41,2014-05-07,esta voltando!!! excelente noticia. parabens,
42,2014-05-09,"esta bom de  por hoje , me deixaram com fome, mas vou dormir , que tenho que acordar cedo :**",
43,2014-05-13,nao tirei foto no,
44,2014-05-13,super empolgado com a abertura das novas turmas.  e,
45,2014-05-13,kkkkkkkkkkkkkkkkkkkkkkkkkkkk minha querida vc ta precisando ligar pro cvv (centro de valorizacao da vida),
46,2014-05-16,com o desemprego em brasilia. o  deveria criar situacoes e postos de trabalho para atender o povo de brasilia.,
47,2014-05-16,"e vamos trabalhar!! fazer o que ama :) bom dia, bom dia!!! ",
48,2014-05-17,"procurei suicidio no google apareceu isso: ""precisa de ajuda? no brasil, ligue 141 centro de valorizacao da vida"" - obg google",
49,2014-05-19,"nao aguento esse povo q diz q nao se importa,mas nao para d falar do assunto. ""eu n me importo"" para d palhacada ",
50,2014-05-19,momento .. nao questione..,
51,2014-05-19,lanchamos agora vamos fazer a atividade com os nossos pacientes que convidamos a vim a uesb.,
52,2014-05-20,"deus ama almas, se somos cristaos precisamos ter esse amor no coracao!  .",
53,2014-05-20,policia civil do df fara paralisacao amanha das 08 as 23: 59 horas. so serao atendidos os casos graves e de flagrante delito.,
54,2014-05-23,vc sabe que ta mal quando o google sugere voce ligar para o centro de valorizacao da vida!,
55,2014-05-25,na audiencia sobre  e   deu sua opiniao: fomentar politicas contra drogas + conscientizacao e prevencao...,
56,2014-05-26,"  nem sei te dizer. sei que eu comentava diariamente o  por aqui, usando a hashtag.",
57,2014-05-26,mas o touch foi pela hashtag ?,
58,2014-05-28,tao lindo participar de algo que funcione!,
59,2014-05-28,cvv centro de valorizacao da vida. o que eh ccv ?,
60,2014-05-29,"hoje e dia de culto na semear macae as 19:30h, av.fabio franco,654 - visconde. venha louvar ao senhor conosco! ! !",
61,2014-05-29,"procurei ""como morrer rapido"" no google e ele::::::::  precisa de ajuda? no brasil, ligue 141 centro de valorizacao da vida",
62,2014-06-04,selton mello ja pode usar uma louca que nao consegue ser feliz em nenhum tipo de relacionamento para a prox temporada de,
63,2014-06-04,"pesquisei no google 'quero morrer agora' (?) e o 1o ~resultado foi ""precisa de ajuda? no brasil, ligue 141 centro de valorizacao da vida""",
64,2014-06-04,estou ansiosa para o comeco da 3a temporada de,
65,2014-06-07,141 - centro de valorizacao da vida (cvv),
66,2014-06-10,sua vaga de trabalho no centro de valorizacao da vida esta garantida.,
67,2014-06-10,tem gente que manda umas mensagens tao mimi que a vontade e de colar o numero do centro de valorizacao da vida como resposta,
68,2014-06-10,por uma dora em minha vida,
69,2014-06-10,"depois de um dia tranquilinho de trabalho, aulinha basica!       ",
70,2014-06-15,"to ate com vergonha da professora, ela deu 10 pra todo mundo na npc2,mas nem isso resolveu meu problema, tirei dois na primeira ",
71,2014-06-15,eu to viciada nas series brasileiras.,
72,2014-06-16,vai voltar com a 3a temporada \o/,
73,2014-06-16,"na inglaterra, o food and mood project, mostrou que a reducao de acucar/cafeina/alcool e chocolate melhorou em 24% a depressao ",
74,2014-06-17,assistindo  e esta me dando uma leva saudades do meu analista.,
75,2014-06-17,"professores sendo ameacados c inquerito administrativo, mas e dai e copa, quem se importa?    ",
76,2014-06-19,a seguir estudiando. .,
77,2014-06-21,aaaaaaah nosva temporada de  chorei com o comercial !,
78,2014-06-24,"daqui a pouco, as 13h15, acontece na unidade de  a tradicional . contamos com a participacao das familias!",
79,2014-06-27,"graca e paz acordar com chuva no interior do ceara nao tem preco, ate parece que deus esta dizendo para nos ei tbm  rsrsrs",
80,2014-06-27,"joguei ""suicide"" no google e apareceu: precisa de ajuda? no brasil, ligue 141 centro de valorizacao da vida",
81,2014-06-28,c.v.v centro de valorizacao da vida,
82,2014-06-28,so fui assistir o futebol depois que o roger venceu.... hahahaha  hahahaha,
83,2014-06-29,participe kkk rsrs,
84,2014-06-29,"ai vc pesquisa ""suicidar"" no google, e ele lhe da o numero do centro de valorizacao a vida! kkkkkkkkkk",
85,2014-06-30,nao tenho mais  mas ta chegando,
86,2014-07-01,bora pra  hahaha,
87,2014-07-02,"ao mudarmos nossa maneira de pensar, nos sentimos melhor, mesmo que a situacao nao possa ser mudada ",
88,2014-07-03,muito bom,
89,2014-07-03,perguntas que calam fundo dentro de nos e nem sempre sabemos onde buscar respostas. vem ai...,
90,2014-07-06,"e vamos para frente com mais um de  a serie e muito boa, e excelente!",
91,2014-07-08,sempre depois da tristeza vira um gozo de alegria nada e envao  pra tudo existe um pra que !,
92,2014-07-08," "": no momento, a psicologa da selecao esta sendo atendida pela psicologa reserva.""",
93,2014-07-09,so uma coisa a declarar.  ta demais!,
94,2014-07-10,acho que vou assistir um episodio de,
95,2014-07-11,a escuta pra quem sabe ouvir ate mesmo o silencio e muito importante! !,
96,2014-07-11,"armando iannucci, brilhante escoces criador de veep da hbo e muito mais na inglaterra nao abre email depois das 6.  ",
97,2014-07-12,mais uma conexao para honra e gloria de deus!,
98,2014-07-12,do  acho que eu sou a unica que esta ansiosa pela segunda temporada,
99,2014-07-15,as pessoas sao como uma tela em branco.nao se pode julgar antes.tem que ir de coracao aberto,
100,2014-07-17,"o capsi realiza atendimento de criancas e adolescentes, entre 3 e 18 anos, alem de familiares e responsaveis, na area da .",
101,2014-07-21,as primeiras temporadas de  esta disponivel no globosat play. rever para aumentar a ansiedade pela 3a em agosto.,
102,2014-07-22,"e com a estreia mes que vem da 3a temporada de , entao, la se vai de vez minha vida social e meu sono... vou desidratar!",
103,2014-07-22,ansiosissima para a terceira temporada de,
104,2014-07-23,""": desmatamento na amazonia legal sobe 358% em apenas 1 ano""",
105,2014-07-23,putz! da o telefone do centro de valorizacao da vida pra ela!,
106,2014-07-23,ela curte tudo que vc dedica a mim,
107,2014-07-24,"de homem a homem verdadeiro, o caminho passa pelo homem louco. michel foucalt.  ",
108,2014-07-25,a nova temporada de  estreia no  no dia 4 de agosto!,
109,2014-07-27,quem se importa? de o primeiro passo e os demais te seguirao. a oferta de sangue foi por todos. faca-a conhecida!,
110,2014-07-30,"ainda bem q agosto estreia  no , setembro  e outubro tem  ... pq senao o tempo n ia passar",
111,2014-07-31," excelente , gostava dela em ",
112,2014-08-01,"de todos os pacientes, theo voce e o pior ",
113,2014-08-01,"tudo que o teo aconselha seus pacientes fazerem, ele mesmo nao faz. ",
114,2014-08-02,"""levamos muito tempo pra perceber que, as vezes, aquilo que mais te protege e o que mais te prende.""  ",
115,2014-08-02,ja estou amando (mais ainda) o evandro!,
116,2014-08-03,amanha (04.08)...22:30h - retorna  no,
117,2014-08-03,141 centro de valorizacao da vida.,
118,2014-08-03,"a pessoa diz que quer se matar e eu digo liga pro centro de valorizacao da vida, e ainda sou xingando!",
119,2014-08-04,gente algum video do primeiro capitulo? eu perdi :(,
120,2014-08-04,que comeco de temporada!,
121,2014-08-04,vai comecar . obaaa,
122,2014-08-04,ja tava com saudade do theo!,
123,2014-08-04,ja vai comecar. finalmente!,
124,2014-08-04,no gnt. adoro,
125,2014-08-05,sera que da pra ter uma ideia de quando sai as proximas temporadas da  em livro?,
126,2014-08-05,terapia e muito foda!foi uma das melhores coisas q fiz por mim.,
127,2014-08-05,terceira temporada: amor a terceira vista vale o triplo...,
128,2014-08-05,"terceira temporada de  continua tudo de bom, mesmo com o som sofrivel.",
129,2014-08-05," comeca e tambem o silencio em casa, eu e minha esposa vidrados nos dilemas e provocacoes...  ",
130,2014-08-06,"na comissao de seguridade social e familia coordenei o grupo de trabalho da saude mental, proposto por mim.  ",
131,2014-08-06,e divulgar!acabei de comprar o kit da  com caderninhos lindos e adesivo da,
132,2014-08-06,se quiser desabafar por dm  fica a vontade,
133,2014-08-06,"""ja lhe fizeram sofrer demais ja lhe fizeram feliz demais ta na hora de voce mesma fazer algo por voce...""   reflexoes de .",
134,2014-08-06,esse episodio de  hoje vai ser incrivel. esse paciente.,
