,text,target
116,sobre o caos. conversa que se desdobra e se refaz em mim.,0.0
510,"o cvv - centro de valorizacao da vida realiza apoio emocional e prevencao do suicidio sob total sigilo por telefone, email e chat 24h todos os dias, nao hesitem em pedir ajuda. 188  caso precisem de ajuda ou queiram desabafar pode me chamar pela dm tambem, fiquem todos bem ",1.0
336,"comenta um """" que eu falo o que eu acho bonito em voce ",0.0
501,voce ter um trauma de infancia e algo tao toxico que afeta todos os ambitos da sua vida. eu por exemplo vou dormir feliz e acordo muito mal todos os dias. todas as manhas eu tenho pesadelos que sempre me levam de volta para tudo que eu queria esquecer.,1.0
326,"minha dm esta aberta pra quem quiser desabafar, conversar com alguem ou pra conselhos &lt;3 ",0.0
456,"assistindo a mais um episodio do  fiquei ainda mais fa e admiradora de . que atriz incrivel, meu deus!",0.0
477,lembrar que qualquer coisa que custe a sua paz e cara demais.,0.0
103,video super importante para toda nossa sociedade!,0.0
4,"sabia que se vc digitar ""suicide"" no google aparece o telefone do centro de valorizacao da vida ? palmas.",1.0
214,faltam 10 dias *,0.0
468,tudo que se cala o corpo fala. aprenda a se posicionar quando necessario. seja gentil com voce.,0.0
652,ainda nao superei essa .,0.0
191,importantissimo,0.0
247,"fique atento, sempre ha alguem do seu lado precisando de ajuda !   ",1.0
271,seja solidario.  voce nunca sabe o que a outra pessoa esta passando.,1.0
539,"eu nao serei uma  eu nao serei suicida, nao vou cometer suicidio.   ",1.0
581,"psicologa clinica | pos graduanda em neuropsicologia | crp 08/27543 ""de uma chance para voce mesmo, cuidar da sua saude mental e muito importante, faca psicoterapia!""    ",1.0
44,vale a pena conferir!,0.0
159,voces sabiam que existe um centro de valorizacao da vida no brasil?,1.0
343,falar e a melhor solucao!  - juntos,0.0
315,"se quiser conversar, chama na dm. ",0.0
658,"as incertezas em relacao ao futuro e a inseguranca no trabalho, somados a jornadas exaustivas, atividades estressantes, discriminacao e metas abusivas, por exemplo, tem levado varios trabalhadores ao limite da .",0.0
546,"tambem nao as julguem.  bom e isso, espero que a thread tenha sido relevante e que possa ajudar alguem de alguma forma, ou apenas conscientizar.  se alguem precisar conversar meu pv estara aberto para todos, ou ligue para 188 (cvv; centro de valorizacao da vida)",1.0
39,boraa,0.0
498," 188 liga la, centro de valorizacao da vida. melhoras",1.0
239,a nova campanha do setembro amarelo e homenagear algum amg seu colocando a foto dele no seu perfil do whatsapp,1.0
126,vou ter que assistir um episodio,0.0
678,"informacao nao e formacao!! voce pode ter informacoes a respeito de um assunto, mas isso nao te faz especialista nele, busque ajuda profissional! sua saude agradece!!   ",0.0
395,"se vc pesquisar ""como se matar"" no ytb aparece o numero do centro de valorizacao da vida  que amor",1.0
523,"cvv(centro de valorizacao da vida):voce e atendido por um voluntario,com respeito, anonimato,que guardara estrito sigilo sobre tudo que for dito e de forma gratuita.os voluntarios sao treinados para conversar com todas as pessoas que procuram ajuda e apoio emocional.",1.0
144," e o numero do cvv, centro de valorizacao da vida. qualquer coisa...",1.0
371,"bora entrar na onda da modinha. comente "" "" que direi o que mais acho bonito em voce. .",0.0
249,meu espirito falhou no,0.0
213,"facil postar  , dificil ajudar alguem que esta precisando!",0.0
520,tem o numero 188 que e do centro de valorizacao da vida que existem pessoas prontas p ouvir e ajudar nesses casos   indiquem formas de ajudar e deem o maximo de suporte amor e carinho,1.0
374,o encontro foi lindo!,0.0
293,todos temos motivos para lutar pela vida.,1.0
517,ginasio para muitos nao e somente uma questao de estetica !!   e sim um remedio !!    depoimento de uma aluna online !!,0.0
