,date,tweet,hashtags
0,2021-04-29,"@Fiuk É importante começarem a postar algo sobre depressão, Setembro amarelo ainda hj antes da próxima eliminação e formação. Só demonstram empatia e apoio no tal Setembro amarelo. Não, é o ano todo q passamos por isto. Muitos desistem da luta. #BBB21 #empatia #depressaonaoéfrescura 💛","#BBB21, #empatia, #depressaonaoéfrescura"
1,2021-04-27,Não há uma linha científica que prove que pessoas que disponham de conforto e bens materiais não possam sofrer de depressão ou de ansiedade.  #DepressãoNãoÉfrescura #SaúdeMental  #ProjetoVocêImporta 💛,"#DepressãoNãoÉfrescura, #SaúdeMental, #ProjetoVocêImporta"
2,2021-04-22,Ando preferindo ter paz que razão  #depressaonaoefrescura,#depressaonaoefrescura
3,2021-04-16,Depressão não é frescura! É necessário aceitar(-se) e entender(-se) que às vezes não dá pra encarar tudo sozinho/a. Não tenha medo de pedir ajuda. Ninguém precisa ser forte o tempo todo... #NinguémSoltaAMãoDeNinguém #DepressãoNãoÉFrescura #Empatia #RespeitoPeloOutro,"#NinguémSoltaAMãoDeNinguém, #DepressãoNãoÉFrescura, #Empatia, #RespeitoPeloOutro"
5,2021-04-11,"O fanatismo não te faz um julgador, te faz um condenador. #depressaonaoefrescura",#depressaonaoefrescura
6,2021-04-09,"uma resposta, ela se foi. Você precisa encontrá-la imediatamente, eu estou partindo e ninguém se importara tanto, e aqueles que dizem me amar um dia não sentira mais o mesmo, assim como todos que passam por minha vida.  #depressãonaoefrescura",#depressãonaoefrescura
7,2021-04-09,Só lembro das perturbação e confusão que a gente arrumava na explicadora um com o outro #descansaempaz #Wilver #Depressaonaoéfrescura 💔,"#descansaempaz, #Wilver, #Depressaonaoéfrescura"
8,2021-04-08,"Não! Depressão não é ""frescura"" e muito menos ""doença de vagabundo"". Depressão é algo sério, que precisa ser tratado e curado. #Depressão #DepressãoNãoÉFrescura","#Depressão, #DepressãoNãoÉFrescura"
9,2021-04-06,"Conversar com alguém sobre depressão é complicado,na realidade ninguém sabe ajudar.  As pessoas são 'pré'-conceituosas. Ela chega como quem não quer nada  E acaba destruindo tudo! #depressaonaoefrescura",#depressaonaoefrescura
10,2021-04-05,"Cara, nunca passei um perrengue tão grande igual agora. Mas uma coisa eu tenho ctz: alô depressão, vc não vai nos vencer. #depressaonaoefrescura",#depressaonaoefrescura
11,2021-04-05,"ELA ESTA ALI, MAS NINGUÉM VÊ! #DEPRESSÃONAOÉFRESCURA",#DEPRESSÃONAOÉFRESCURA
12,2021-04-04,"Naira, descanse em paz Vai fazer muita falta com seu alto astral mesmo enfrentando essa doença. Te amo ❤️   #depressãonãoéfrescura",#depressãonãoéfrescura
13,2021-03-30,E essa propaganda da Amil sobre saúde mental?   Eu amei. ❤️  #DepressaoNaoeFrescura #AnsiedadeNaoeFrescura,"#DepressaoNaoeFrescura, #AnsiedadeNaoeFrescura"
15,2021-03-30,"Quando você finalmente consegue pedir ajuda a sensação é de um passo gigante dado. Depressão não é apenas se sentir triste, conseguir pedir ajuda e perceber que precisa de ajuda é mais complexo do que parece #Depressaonaoefrescura",#Depressaonaoefrescura
16,2021-03-29,"Gente é muito ruim sentir um vazio, uma melancólia que me consome, me sinto cansada msm depois de dormir por horas , e eu sinto tristeza em coisas simples e é uma tristeza q não tem um motivo e nem razão, apenas TRISTEZA.   #Depressaonaoefrescura #tristeza #chateada","#Depressaonaoefrescura, #tristeza, #chateada"
17,2021-03-28,Eu perdi um amigo e não é fácil te amo David. #depressãonãoéfrescura #DepressionIsReal #depression,"#depressãonãoéfrescura, #DepressionIsReal, #depression"
18,2021-03-28,"Sou grato a todos que me mandaram mensagem desde ontem; logo, com fé em Deus, ficarei bem.  Só quero mesmo que a pessoa pare de aparecer na minha vida; toda vez que a cicatriz está fechando, de repente aparece e volta a jorrar tristeza dentro de mim!   #depressãonãoéfrescura",#depressãonãoéfrescura
21,2021-03-22,eu fico super triste em saber que mais uma pessoa tirou sua própria vida por conta dessa maldita depressão #depressãonãoéfrescura 😔,#depressãonãoéfrescura
22,2021-03-20,"Enquanto vocês me veem sorrindo, a minha vida está desmoronando cada dia mais...#ansiedade #Depressaonaoefrescura","#ansiedade, #Depressaonaoefrescura"
24,2021-03-20,ai se vcs soubessem as diversas facetas dessa doença... #DepressãoNãoÉFrescura,#DepressãoNãoÉFrescura
26,2021-03-07,"EU NÃO ESTOU NO TOP FRIENDS DE NINGUÉM , ME SINTO ISOLADA  #bullying #Depressaonaoefrescura","#bullying, #Depressaonaoefrescura"
27,2021-03-07,não adianta nada falar sobre depressão e ansiedade na internet se na primeira oportunidade você abandona um amigo durante uma crise por achar que é frescura. isso é hipocrisia em níveis absurdos. #Depressaonaoefrescura,#Depressaonaoefrescura
28,2021-03-07,"#depressao é complicado! Pandemia com depressão? Talvez um pesadelo! Tem alguém aqui lutando pra finalizar um #tcc e temos um prazo final, ou vai jubilar... e ainda brigando internamente para conseguir concluir... ninguém merece passar por isso... #depressaonaoefrescura","#depressao, #tcc, #depressaonaoefrescura"
29,2021-03-06,"Haverá um dia, em que vc vai se lembrar  dessa dor e pensar.. Cara eu passei por isso! Então eu posso enfrentar o que vier!   Meu abraço sincero! Se quiser conversar, estamos aí! #DepressãoNãoÉFrescura",#DepressãoNãoÉFrescura
30,2021-03-05,"Ação ou efeito de deprimir, de se abater física ou moralmente.[Psicologia] Doença psiquiátrica, de origem crônica, que causa alterações de humor, definida por uma tristeza intensa e permanente, agregada à dor, à desesperança, à culpa etc., com ou sem razão. #Depressãonãoéfrescura",#Depressãonãoéfrescura
