,date,tweet,hashtags
1,2021-03-27,"Vamos lá! Tire essa máscara de felicidade, e mostre sua verdadeira face, cheia de dor, e peça ajuda por favor, não brinque com sua saúde mental, se está sofrendo peça ajuda. Obrigada...  #DigaNaoADepressao #PecaAjuda #TristeNao #SaudeMental","#DigaNaoADepressao, #PecaAjuda, #TristeNao, #SaudeMental"
2,2021-03-01,@yuyzmeng amo viver #DigaNaoADepressao,#DigaNaoADepressao
3,2021-02-27,"A nossa cabeça é uma máquina, as vezes ela precisa de ajustes! Não ignore os sinais que ela te dá.  .  .  #saudemental #ansiedade #diganãoadepressão #ansiedadenãoéfrescura","#saudemental, #ansiedade, #diganãoadepressão, #ansiedadenãoéfrescura"
9,2020-11-10,"@criagostoso @alinecunhasf KKKKKK pqp, mas é isso aí, e vamos de setembro amarelo atrasado #DigaNaoADepressao #VoceNaoEstaSozinho","#DigaNaoADepressao, #VoceNaoEstaSozinho"
10,2020-09-30,nao tenha depressão... escolha ser feliz 😊😊😊😊😁😁😁😁💛💛💛💛 #setembroamarelo #motivacional #diganaoadepressao,"#setembroamarelo, #motivacional, #diganaoadepressao"
11,2020-09-18,Serão 7 dias! 7 Lives e 7 MOTIVOS PARA VOCÊ NÃO DESISTIR DA SUA VIDA!!! Participe 🙏🏻🙏🏻 a sua vida é importante 🙌🏼🙌🏼 #NaoDesista #SetembroAmarelo #diganaoaosuicidio #diganaoadepressao,"#NaoDesista, #SetembroAmarelo, #diganaoaosuicidio, #diganaoadepressao"
13,2020-08-30,@lilqitt1 Vtnc mlk kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk #diganaoadepressao 😪👉🏻👈🏻,#diganaoadepressao
16,2020-05-25,"@ExposedGorpaa Se precisar de um amigo, to aqui!!!! #diganaoadepressao",#diganaoadepressao
18,2020-01-16,"Gente se alguém tiver algum problema é quiser conversar pose contar comigo, lembre vale muito mas procurar alguém pra conversar do que deixar saudades em muitos #DiganãoaDepressão",#DiganãoaDepressão
21,2019-10-09,"A professora do meu curso nos deu aula ontem e chegou em casa viu o marido dela morto ele tinha cometido um suicídio 🤦🤦 Meu deus que mundo é esse que AGT vive , que Deus possa guardar ele e conforta ela  #Diganãoadepressão",#Diganãoadepressão
