,date,tweet,hashtags
0,2021-04-24,"Um dia desses, li em um perfil de frases motivacionais: ""Com o tempo você percebe que deve se libertar de algumas pessoas, pois elas não servem pra nada."" Percebi que algumas pessoas entendem outras como utilidade. Perverso.  #pitadapsi #doençamental #autopercepção #terapia","#pitadapsi, #doençamental, #autopercepção, #terapia"
1,2021-04-08,Problemas psicológicos são questões sérias e não mi-mi-mi. Respeite! #Psicologia #Terapia #terapiadegrupo #suicidio #quarentena #DistanciamientoSocial #tratamento #psiquiatria #medico #saude #sus #doencamental,"#Psicologia, #Terapia, #terapiadegrupo, #suicidio, #quarentena, #DistanciamientoSocial, #tratamento, #psiquiatria, #medico, #saude, #sus, #doencamental"
3,2021-04-07,amanha tem masters #doençamental #vejoqualquercoisa,"#doençamental, #vejoqualquercoisa"
4,2021-03-30,"@Fiuk quer que todos entendam o lado dele, mas ele não entende ninguém? Isso não #DoençaMental é ser hipócrita.  #esquerdomacho vtzeiro, o golpe está aí, cai quem quer. #RedeBBB #BBB","#DoençaMental, #esquerdomacho, #RedeBBB, #BBB"
5,2021-02-28,@Tropa_84 @AliadadoBonoro Aaaaaaaaahhh Não #DoencaMental,#DoencaMental
6,2021-01-26,"Pessoas, uma palavrinha que vocês devem aprender, pesquisar e entender:  AUTOGINEFILIA  #educacao  #cultotrans  #mulhertrans  #mulher  #homem  #doençamental  #autoginefilia","#educacao, #cultotrans, #mulhertrans, #mulher, #homem, #doençamental, #autoginefilia"
7,2020-12-28,"É também #estupro de pessoa #vulnerável e aplica-se a mesma pena se a #relaçãosexual for com pessoa que não tiver discernimento necessário para o ato, por enfermidade ou #doençamental, ou se, por qualquer outra razão, não puder oferecer resistência","#estupro, #vulnerável, #relaçãosexual, #doençamental"
8,2020-11-22,@joanabarros97 Os 2 convencidos e egocêntricos são nojentos. Mas não entendo que a #ERC deixe que se humilhie uma pessoa com doença de foro psicológico!! comprados pela pinderica? #assedio #doencamental,"#ERC, #assedio, #doencamental"
11,2020-10-15,queria-vos só dizer que eu sou viciada em coisas bonitas…. #doençamental!,#doençamental
17,2020-09-12,"Então além de conviver com o sofrimento do passado, passo a temer o que virá. E por vezes acho que “pior que tá...” Pode sim ficar. Pode ser pior.  E tomada pelo medo, me recolho na sala das tristezas.  Pura insanidade? Com ctza! Mais sou insana mesmo. #Borderline #doençamental","#Borderline, #doençamental"
18,2020-07-31,@MauricioRicardo Gézuis... Acho que faltou na lista aí os Reptilianos que governam o mundo e os cientistas maus que não receitam Cloroquina... #Doido #Esquizofrenia #Bolsonarismo #DoençaMental,"#Doido, #Esquizofrenia, #Bolsonarismo, #DoençaMental"
20,2020-07-05,capacidade de se imputar um ato a alguém.  #direito #psicologia #psicopatologia #psicologiajuridica  #psicopatologiajurídica #doençamental #vidapregressa #direitoporamor #oabgo #criminologia #laudomental #crime #psicologiamental #codigopenal,"#direito, #psicologia, #psicopatologia, #psicologiajuridica, #psicopatologiajurídica, #doençamental, #vidapregressa, #direitoporamor, #oabgo, #criminologia, #laudomental, #crime, #psicologiamental, #codigopenal"
21,2020-05-14,@carlosjordy @investir_acoes #doençamental povo que acha pelo em ovo,#doençamental
23,2020-04-13,To começando a achar que vamos ter eh colapso nos hospitais psiquiátricos. Vejo cada uma... #ForaBolsonaroUrgente #lobotomia #doencamental,"#ForaBolsonaroUrgente, #lobotomia, #doencamental"
28,2020-03-19,@Falcao2611 @Rconstantino Eu chamo essa tentativa DOIDA de culpar a China de #DoençaMental,#DoençaMental
29,2019-11-13,Meus dias de mania já estão a chegar em 3 seguidos. Um pouco preocupada para quando a depressão bater. #doençamental,#doençamental
30,2019-11-10,"O Twitter e tóxico . Gera sentimentos de odeio , raiva e cansaço. #Twitter #toxico #doencamental #Enem #BoliviaUnida #showdosatrasados2019","#Twitter, #toxico, #doencamental, #Enem, #BoliviaUnida, #showdosatrasados2019"
32,2019-10-11,"“I hope my death makes more cents than my life”. Bem, parece que Arthur, morrendo ao dar a vida ao Joker, resolveu fazer algo que valesse, que fizesse sentido, na sua vida. 11/10/10  #joker #coringa #joaquinphoenix #doencamental #mentalillness #façaterapia","#joker, #coringa, #joaquinphoenix, #doencamental, #mentalillness, #façaterapia"
33,2019-09-25,"Quero ficar na minha Hoje, pois minha ansiedade tá no talo. #Ansiedade #DoençaMental #Cansada #ComRaiva","#Ansiedade, #DoençaMental, #Cansada, #ComRaiva"
34,2019-09-06,"""Ação na Justiça pede interdição de Bolsonaro por 'insanidade mental'"". #bolsonarolimítrofe #insanidademental #deficiênciaintelectual #bolsonaroenergúmeno #burrice #doençamental #governobolsonaro #forabolsonaro","#bolsonarolimítrofe, #insanidademental, #deficiênciaintelectual, #bolsonaroenergúmeno, #burrice, #doençamental, #governobolsonaro, #forabolsonaro"
36,2019-08-30,"@GloboNews O óbvio né, cambada de esquizofrênicos??? Ideologia de gênero é #DoençaMental é #Esquizofrenia.","#DoençaMental, #Esquizofrenia"
