,date,tweet,hashtags
0,2021-04-24,"Eu não aceito a Marla morrer pra um zé ninguém, se fosse pelo menos pelo bandidão. Que ódio #eumeimporto #ICareALot","#eumeimporto, #ICareALot"
4,2021-04-23,"Passei o filme todo com ranço da Marla. Não consegui ter empatia por ela, mereceu o fim que teve.   #EuMeImporto",#EuMeImporto
5,2021-04-21,MELHOR FILMA DA VIDA - EU ME IMPORTO #Netflix #EuMeImporto,"#Netflix, #EuMeImporto"
6,2021-04-21,@NetflixBrasil que filmaço !!!!! #EuMeImporto   Um dos melhores filmes de suspense que assisti nos últimos tempos.   Não dá pra tirar a atenção da tela um segundo sequer.,#EuMeImporto
7,2021-04-21,Acabei de assistir #eumeimporto e tô com ódio desse final. É errado torcer pra que a Marla tivesse um final feliz?,#eumeimporto
8,2021-04-18,"Putz! Amei o final da Marla, pena que a Fran não recebeu do mesmo doce. #EuMeImporto  #Netflix","#EuMeImporto, #Netflix"
9,2021-04-18,"O filme #Eumeimporto é sensacional, briga de peixe grande. @NetflixBrasil",#Eumeimporto
11,2021-04-09,"Chega!!! Não aguento mais!!! Não aguento mais ver tanta gente morrendo, tanta gente passando fome!! Não aguento mais!!!!! Estamos vivendo pra q? Pra assistir esse circo de horrores?  Vc se importa??  Então vamos fazer alguma coisa!   #Covid_19 #eumeimporto #chega","#Covid_19, #eumeimporto, #chega"
12,2021-04-07,Nota 6 para 'Eu Me Importo' da @NetflixBrasil. 🎬 O final do filme ficou entre decepcionante e brochante. Eu não me importo. 🎦 #EuMeImporto,#EuMeImporto
13,2021-04-04,Eu odeio final de filmes aaaaaaa #eumeimporto,#eumeimporto
14,2021-04-02,Eu amei ou odiei o final? #EuMeImporto,#EuMeImporto
16,2021-04-02,Cobra comendo cobra...  #EuMeImporto,#EuMeImporto
17,2021-04-02,Neste Dia Mundial de Conscientização sobre o Autismo vale lembrar a importância de somar esforços pela maior informação e conhecimento de todos a respeito dessa causa🧩  Vamos juntos tornar o mundo mais azul!💙  ✅ Vereador Davi Esmael #EuMeImporto #SomosAmaes #ACidadeAcimaDeTudo,"#EuMeImporto, #SomosAmaes, #ACidadeAcimaDeTudo"
18,2021-03-30,eu sou [ deliberadamente ] APAIXONADA por um anão #eumeimporto,#eumeimporto
19,2021-03-30,"O modo como elas se tratam, como se preocupam e cuidam é maravilhoso. Esse filme é muito incrível, morro de ódio que elas sejam golpistas de idosos, mas gosto muito mesmo assim. 😅  #EuMeImporto está disponível na @NetflixBrasil, já assistiu? Comente o que achou!",#EuMeImporto
20,2021-03-30,"Terminei esse #eumeimporto da Netflix.  Bem médio, lésbica trambiqueira mexendo com anão mafioso.",#eumeimporto
22,2021-03-28,"alguém pode me matar agora? #4KLBPRIDE  #GenesisQuinta  #TeamSarah  ,Dia 30  #eumeodeio  #EuMeimporto  #suicio","#4KLBPRIDE, #GenesisQuinta, #TeamSarah, #eumeodeio, #EuMeimporto, #suicio"
24,2021-03-27,Impactada com final de #EuMeImporto,#EuMeImporto
25,2021-03-27,"Acabo de assistir #EuMeImporto no @NetflixBrasil .... isso mostra como as relações e pessoas são descartáveis, nessa era que vivemos.",#EuMeImporto
26,2021-03-27,Vale a pena assistir esse #eumeimporto da Netflix ou é perca de tempo ?,#eumeimporto
27,2021-03-27,TODAS AS VIDAS IMPORTAM! #EuMeImporto ❤,#EuMeImporto
28,2021-03-26,Rosamund Pike é minha nova religião.   #eumeimporto #netflixbrasil #marlagrayson,"#eumeimporto, #netflixbrasil, #marlagrayson"
29,2021-03-25,Esse VOCÊ É Esse EU. POR QUE NESSE MUNDO VOCÊ VENCE.  #NovoDia #EuMeimporto #SomosPoderosos,"#NovoDia, #EuMeimporto, #SomosPoderosos"
30,2021-03-24,Pior filme da vida! #eumeimporto,#eumeimporto
31,2021-03-23,Esse caso da #BritneySpears me lembra muito do filme #eumeimporto !,"#BritneySpears, #eumeimporto"
33,2021-03-22,Assistindo #FramingBritneySpears e eu só consigo lembrar do filme #eumeimporto da @NetflixBrasil #FreeBritney,"#FramingBritneySpears, #eumeimporto, #FreeBritney"
34,2021-03-22,Creio q não sou a única q levanta pra assistir jornal 🙆🏻‍♀️ #Bomdia #EuMeimporto,"#Bomdia, #EuMeimporto"
35,2021-03-21,"Acabei de assistir #PorTrasDaInocencia e posso dizer que ultimamente, apenas #EuMeimporto consegue a proeza de ser pior. Me ajuda aí Netflix!!!","#PorTrasDaInocencia, #EuMeimporto"
36,2021-03-21,#EuMeimporto. Assistam na  @NetflixBrasil :),#EuMeimporto
37,2021-03-21,"Morra filha da puta, MORRA! #EuMeimporto",#EuMeimporto
38,2021-03-21,"Você se revolta porque só tem ator e atriz pica e o roteiro é bom, só que a obra terminou de ser escrita pelo estagiário...e ele cagou! #EuMeimporto",#EuMeimporto
39,2021-03-21,Assistam o filme #eumeimporto da Netflix. Filmão!,#eumeimporto
40,2021-03-20,"Assistimos #EuMeimporto e achei o final merecidíssimo. Mas estou aterrorizada com o processo de curatela nos eua, e de coração partido com as fotos dos velhinhos 😢",#EuMeimporto
41,2021-03-20,@baliborio #eumeimporto sinta-se abraçada!! ❤ Vc não está só! 😘,#eumeimporto
43,2021-03-18,"Assistam ""eu me importo"" filme muito bom.   #Netflix #EuMeimporto","#Netflix, #EuMeimporto"
44,2021-03-18,@souldobreva Muitos dos indicados ao Globo de Ouro e ao Oscar deste ano estão disponíveis na Netflix. Eis as minhas humildes dicas! #AVozSupremaDoBlues #ACaminhoDaLua #EraUmaVezUmSonho #EuMeImporto #FestaDeFormatura #Mank #OsSeteDeChicago #PiecesOfAWoman #RelatosDoMundo,"#AVozSupremaDoBlues, #ACaminhoDaLua, #EraUmaVezUmSonho, #EuMeImporto, #FestaDeFormatura, #Mank, #OsSeteDeChicago, #PiecesOfAWoman, #RelatosDoMundo"
45,2021-03-18,"Marla Grayson, tanto sacrifício para ir direto para o inferno #EuMeImporto",#EuMeImporto
46,2021-03-17,Dei play em #EuMeimporto e a primeira cena já me parece uma continuação de garota exemplar..,#EuMeimporto
47,2021-03-17,"Horário de almoço eu sempre vejo um filme, tô assistindo Eu me importo da Netflix. Gente que ranço da Rosemund Pike. #icarealot #eumeimporto","#icarealot, #eumeimporto"
48,2021-03-15,"Ficou milionária e no final morreu 🤡, cavou sua própria cova  #EuMeimporto",#EuMeimporto
49,2021-03-14,quero dizer a todos vocês que assistam #EuMeImporto na Netflix! Vocês irão me agradecer depois.,#EuMeImporto
50,2021-03-14,Assistam #ICareALotNetflix #EuMeimporto na @NetflixBrasil me agradeçam depois 😘,"#ICareALotNetflix, #EuMeimporto"
