,date,tweet,hashtags
0,2021-03-24,É irônico como os movimentos sociais são interpretados nas redes sociais e principalmente no #bookstagram. As mesmas pessoas que xingaram a menina de ter feito um post #homofobico  fizeram piada sobre #saúdemental e pessoas com transtornos psicológicos No mês do #JaneiroBranco .,"#bookstagram, #homofobico, #saúdemental, #JaneiroBranco"
1,2021-02-26,"#JaneiroBranco passou, mas o alerta é para o ano inteiro. Estamos numa #pandemia , porém se você cuidar somente da sua vida e saúde mental, talvez não precise de nada mais grave. Aproveite o dia. Relaxe a noite e está tudo certo. Mel Dels. Estou super tranquila, mas tenho visto +","#JaneiroBranco, #pandemia"
2,2021-02-09,"Acabamos de sair do #janeirobranco , temos um longo caminho até o #setembroamarelo . O #BBB21 está escancarando para o Brasil o quanto é urgente falar sobre #SaudeMental em todos os meses do ano.","#janeirobranco, #setembroamarelo, #BBB21, #SaudeMental"
3,2021-02-09,"#ViolênciaPsicológica desencadeia stress pós-traumático, depressão e crises de pânico. Pode até ser enquadrada como lesão corporal. É isso que o #JaneiroBranco fala, das necessidades à Saúde Mental e Emocional de pessoas e instituições humanas. #BBB21 @Karolconka #jaquepatomba","#ViolênciaPsicológica, #JaneiroBranco, #BBB21, #jaquepatomba"
4,2021-02-07,@rocelliviana AGORA EU SOU MALUCO?  #Saudemental #setembroamarelo #janeirobranco #transtornoboderline #paz #pas,"#Saudemental, #setembroamarelo, #janeirobranco, #transtornoboderline, #paz, #pas"
5,2021-02-01,"O que me deixa mais desapontada, é ver que em campanhas de conscientização como o #janeirobranco e o #setembroamarelo, se levanta uma bandeira onde muitos não levam isso no decorrer do ano. Banalizando situações sérias que envolver a particularidade de cada sujeito.","#janeirobranco, #setembroamarelo"
7,2021-01-31,"Durante esse mês estivemos com os funcionários da empresa @valenobrasil para fomentar uma necessidade de consciência e valor a vida na campanha ""Janeiro Branco""voltado para a importância da Saúde Mental. Foram 11 palestras contemplando o somatório de 380 pessoas #JaneiroBranco",#JaneiroBranco
8,2021-01-31,Depois de 12h de um plantão intenso na psiquiatria: - Cuidem da saúde mental de vocês!  #psiquiatria #SaudeMental #JaneiroBranco,"#psiquiatria, #SaudeMental, #JaneiroBranco"
9,2021-01-31,"E a paz de Deus ,que exerde todo o entendimento, guardará os vossos coração e os vossos sentimentos em Cristo Jesus.  Felipenses 4:7  #janeirobranco #saudemental  Que passamos  entende nossas emoções, e que possamos te capacidade de alto regulação, dos nossos sentimentos ....","#janeirobranco, #saudemental"
10,2021-01-31,@bbb21_globo Em pleno #janeirobranco.,#janeirobranco
11,2021-01-31,O objetivo principal do Janeiro Branco é chamar a atenção de todo mundo para o tema da saúde mental na vida das pessoas.   #saudemental #saude #janeirobranco,"#saudemental, #saude, #janeirobranco"
14,2021-01-31,"Projota dando aula do quanto é importante cuidar da saúde mental, nesse último dia de janeiro. Completamente necessário mesmo. #BBB21 #JaneiroBranco","#BBB21, #JaneiroBranco"
16,2021-01-30,Meu sonho é que as mulheres invistam tanto em saúde mental quando investem em estética.  A auto estima é reduzida a aparência e o pilar da vida é esquecido.  #saudemental #autoestima #JaneiroBranco,"#saudemental, #autoestima, #JaneiroBranco"
17,2021-01-29,"Esse BBB só está reforçando que as pessoas precisam mudar o jeito, comportamento e até a personalidade para serem aceitas em um grupo. Quando não são aceitas, procuram pelas fugas.  #BBB #BBB21 #janeirobranco #bbb21aovivo","#BBB, #BBB21, #janeirobranco, #bbb21aovivo"
18,2021-01-29,destruí-lo. O filme é sensacional e aborda o tema de uma maneira genial. #dicas #timotheechalamet #saudemental #janeirobranco #help #ajuda #filme #indicação #top,"#dicas, #timotheechalamet, #saudemental, #janeirobranco, #help, #ajuda, #filme, #indicação, #top"
