,date,tweet,hashtags
0,2021-04-28,Não pare de andar! 👍🏻😉😼  #psicologia #psicologo #saudemental ##saudeemocional #terapiacognitiva #terapiacognitivocomportamental #cognitivebehavioraltherapy #psicoterapia #presidenteprudente #terapeuta #consultório #boanoite,"#psicologia, #psicologo, #saudemental, #saudeemocional, #terapiacognitiva, #terapiacognitivocomportamental, #cognitivebehavioraltherapy, #psicoterapia, #presidenteprudente, #terapeuta, #consultório, #boanoite"
1,2021-04-28,"Pode haver ainda um efeito psicológico. A #pandemia pode provocar sentimentos como ansiedade, incerteza e medo, fatores que podem comprometer a #saúdeemocional de todos que a vivenciam.","#pandemia, #saúdeemocional"
2,2021-04-27,"Se atualmente você não sente necessidade, ainda assim, você pode fazer terapia, para: 1. Se conhecer melhor 2. Não se tornar o motivo de alguém precisar de terapia   #Terapia #SaudeMental #saudeemocional","#Terapia, #SaudeMental, #saudeemocional"
5,2021-04-24,"Faça algo por você!  Aproveite esse sábado, alimente se bem, descanse, assista sua série favorita.... enfim, curta como você preferir!   #Descanse #Saudeemocional","#Descanse, #Saudeemocional"
7,2021-04-18,"""Não espere por dias melhores, tenha você mesmo a autoresponsabilidade, de fazer dos seus dias os melhores"" ---- 💡 #viverbemcomaansiedade #saudemental #saudeemocional","#viverbemcomaansiedade, #saudemental, #saudeemocional"
8,2021-04-17,O hoje é um presente abra e se alegre com o que receber.  #Keepi2gether #kudissangametod #saudeemocional #CanalBomSenso #perdao #família #terapiaonline #saudesexual #AulaMagnax2 #2entre4Paredes #escolhiserfeliz #Euk #sexólogo,"#Keepi2gether, #kudissangametod, #saudeemocional, #CanalBomSenso, #perdao, #família, #terapiaonline, #saudesexual, #AulaMagnax2, #2entre4Paredes, #escolhiserfeliz, #Euk, #sexólogo"
9,2021-04-16,"""A vida acontece no equilíbrio entre a alegria e a dor. Quem não se arrisca para além da realidade jamais encontrará a verdade"" (C.J.Jung) #psicoterapia #psicanálise #saúdeemocional #bemestar","#psicoterapia, #psicanálise, #saúdeemocional, #bemestar"
10,2021-04-16,Todo mundo está cansado da pandemia e com professores não seria diferente. A pergunta que não quer calar: como nós ajudar nesse momento? Ideias? #educacao #professoresunidos #saudeemocional,"#educacao, #professoresunidos, #saudeemocional"
11,2021-04-14,A gente aprende chorando e eu tô chorando a três dias ... #saudeemocional #psic,"#saudeemocional, #psic"
17,2021-04-10,"Ser forte não é simplesmente se manter na posição de coragem... Mas realmente reconhecer e acolher o sentimento. Permitir-se viver o que tem que ser vivido, deixar a lágrima cair sem culpa.  🍁📝  #autoconhecimento #frasesepensamentos #reflexao #escritasensivel #saudeemocional","#autoconhecimento, #frasesepensamentos, #reflexao, #escritasensivel, #saudeemocional"
18,2021-04-09,"Uma vez, minha terapêutica disse que,  qdo uma pessoa entra em um processo de superação e visivelmente fica bem, àquele(s)  com quem convive, pode(m) se tornar sabotador(es), afim de fazê-la voltar ao ciclo.  Então, estejamos  conscientes! #saudeemocional",#saudeemocional
21,2021-04-05,“Ela compreendeu que amar não é permitir que lhe cortem as asas. O amor está em encontrar alguém que queira compartilhar do mesmo vôo.” #amores_da_minha_vida 💞 #recitandopoesia 💞 #focoforçafé 💞 #saudeemocional 💞 #saudade 💞 #psicóloga  #parabéns  #reflexões  #teamomuitomesmo,"#amores_da_minha_vida, #recitandopoesia, #focoforçafé, #saudeemocional, #saudade, #psicóloga, #parabéns, #reflexões, #teamomuitomesmo"
24,2021-04-05,"A capacidade reflexiva não é algo natural no ser humano, está deve ser desenvolvida. Isso se torna vetor diretivo para o maior tesouro que se pode ter na vida. SER SI MESMO!  #psicoterpiaonline #terapiabreve #terapiadomiciliare #saudemental #saudeemocional #Psicologia","#psicoterpiaonline, #terapiabreve, #terapiadomiciliare, #saudemental, #saudeemocional, #Psicologia"
25,2021-04-04,"Você merece passar BEM. E pensando por outro lado, vai que a pessoa que você ligou também esteja precisando de AJUDA.  No fim os dois lados ganharam.  #bemestar #saude #saudemental #saudeemocional #pessoas #pessoasdobem #façaporvocê #facaobem #baraodecocais #belohorizonte #mg","#bemestar, #saude, #saudemental, #saudeemocional, #pessoas, #pessoasdobem, #façaporvocê, #facaobem, #baraodecocais, #belohorizonte, #mg"
28,2021-03-31,"💬Mas assim como qualquer outra decisão na sua vida, depende de você compreender essa necessidade e buscar a terapia, esse é o passo mais importante de todos.  #terapeutacintiafaria #hipnoterapia #terapiacomhipnose  #subconsciente  #saudeemocional #bemestar #terapiaemocional","#terapeutacintiafaria, #hipnoterapia, #terapiacomhipnose, #subconsciente, #saudeemocional, #bemestar, #terapiaemocional"
