,date,tweet,hashtags
0,2021-04-29,#Ansiedade não se resolve com um convite para “tomar uma” ou um simples “relaxa que vai passar.”  #ansiedadenaoéfrescura #Terapia #Psicologia #SaudeMental,"#Ansiedade, #ansiedadenaoéfrescura, #Terapia, #Psicologia, #SaudeMental"
1,2021-04-29,Vamos acompanhar de perto esse processo para garantir que a população da Zona Oeste tenha acesso aos seus direitos.   Não existe saúde sem saúde mental.   #SiriNaCâmara #CâmaraMunicipal #RiodeJaneiro #ZonaOesteRj #Saúde #SaúdeMental,"#SiriNaCâmara, #CâmaraMunicipal, #RiodeJaneiro, #ZonaOesteRj, #Saúde, #SaúdeMental"
2,2021-04-29,A pandemia veio e mexeu primeiro  com a saúde física e depois com a saúde mental de todos. Como conciliar tudo? Como você faz?  #saúde  #COVID19 #SaúdeMental #mentalhealth #pandemia,"#saúde, #COVID19, #SaúdeMental, #mentalhealth, #pandemia"
3,2021-04-29,"#saúdemental O Centro de Sáude de #Ordes contará cunha unidade de Saúde Mental para os veciños da bisbarra dende a vindeira semana. Estará formada por 5 profesionais e dará asistencia aos concellos de Ordes, #Frades, #Mesía, #Tordoia e #Trazo","#saúdemental, #Ordes, #Frades, #Mesía, #Tordoia, #Trazo"
4,2021-04-29,"Esse diálogo da @juliette e o @gilnogueiraofc super útil, se liguem aí #saúdemental #bbb","#saúdemental, #bbb"
5,2021-04-29,"Informação não é formação!! Você pode ter informações a respeito de um assunto, mas isso não te faz especialista nele, busque ajuda profissional! Sua saúde agradece!!  #façaterapia #saúdemental","#façaterapia, #saúdemental"
7,2021-04-29,Lembrete!  Psicoterapia é 10% técnicas e ferramentas e 90% vínculo.  #saudemental #psicologia #psicoterapia,"#saudemental, #psicologia, #psicoterapia"
8,2021-04-28,"Referência: Wright, J. H., Basco, M. R., &amp; Thase, M. E. (2008). Aprendendo a terapia cognitivo-comportamental: um guia ilustrado. Porto Alegre: Artmed.  #psicologia #psicoterapia  #saúde #mente #saúdemental  #transtornosdeansiedade #transtornodeansiedade #ansiedade","#psicologia, #psicoterapia, #saúde, #mente, #saúdemental, #transtornosdeansiedade, #transtornodeansiedade, #ansiedade"
9,2021-04-28,"A ideia central sobre se relacionar é estar com alguém que venha pra somar, que te motive a ser uma pessoa melhor a cada dia, não com uma pessoa que te diminui, destrói o seu emocional e ainda complica a sua vida.  #relacionamentos #relaçãosaudavel #casais #amigos #SaudeMental","#relacionamentos, #relaçãosaudavel, #casais, #amigos, #SaudeMental"
10,2021-04-28,Hoje é só agradecimento! .... #VacinaPraTodos #VivaOSuS  #SaudeMental  #VamosVencer  #EsperançaRenovada,"#VacinaPraTodos, #VivaOSuS, #SaudeMental, #VamosVencer, #EsperançaRenovada"
11,2021-04-28,Estou orando por Bolsonaro porque sou uma pessoa de bom coração. Ore você também   Salmo 109:8  Amém 🙏🏼  #Democracia #Cidadania #SaúdeMental #VacinaSim #VacinaParaTodos  #VacinaJa,"#Democracia, #Cidadania, #SaúdeMental, #VacinaSim, #VacinaParaTodos, #VacinaJa"
12,2021-04-28,"O post de hoje é em parceria com o @gapsi_icmc, Grupo de Apoio Psicopedagógico do ICMC, que pode ser seu apoio em todos os momentos da graduação!  Você não está sozinho e o ICMC agora é sua casa! O PET Computação e o GAPsi estão sempre de portas abertas!  #icmc #saudemental #usp","#icmc, #saudemental, #usp"
13,2021-04-28,"As incertezas em relação ao futuro e a insegurança no trabalho, somados a jornadas exaustivas, atividades estressantes, discriminação e metas abusivas, por exemplo, têm levado vários trabalhadores ao limite da #saúdemental.",#saúdemental
14,2021-04-28,Não pare de andar! 👍🏻😉😼  #psicologia #psicologo #saudemental ##saudeemocional #terapiacognitiva #terapiacognitivocomportamental #cognitivebehavioraltherapy #psicoterapia #presidenteprudente #terapeuta #consultório #boanoite,"#psicologia, #psicologo, #saudemental, #saudeemocional, #terapiacognitiva, #terapiacognitivocomportamental, #cognitivebehavioraltherapy, #psicoterapia, #presidenteprudente, #terapeuta, #consultório, #boanoite"
16,2021-04-28,"Logo quando eu abrir os olhos nessa manhã, eu sentir como se tivessem aberto meu peito durante a noite, e alguém tivesse colocado uma pedra enorme la dentro de tanta dor que eu estava sentindo...😭  #SaúdeMental #Triste","#SaúdeMental, #Triste"
18,2021-04-28,"Sobre erros: ⠀ Há momentos onde se deve questionar: ""o que eu fiz de errado?"", E a momentos onde a questão real é: ""eu fiz algo errado?"" ⠀ Você sabe diferenciar o momento em que cada pergunta deve ser feita? ⠀ #Terapia #SaúdeMental #Psicologia #Brasil","#Terapia, #SaúdeMental, #Psicologia, #Brasil"
