,date,tweet,hashtags
2,2021-04-22,"""A tristeza te cai tão bem"" as pessoas não falam mais ""oi, tudo bem"". Ele disse ""você parece triste, a tristeza te cai tão bem"" #SessãoDeTerapía",#SessãoDeTerapía
3,2021-04-17,"Sinceramente, admiro muito os profissionais em saúde mental, pq eu não teria estrutura de carregar minha vida e mais os problemas dos outros. PARABÉNS, profissionais dessa área! ,👏🏻  #SessãoDeTerapia",#SessãoDeTerapia
5,2021-04-17,"Assistindo #sessãodeterapia, percebo que Selton Melo é um dos melhores diretores brasileiros.",#sessãodeterapia
6,2021-04-15,"A temporada de #SessãoDeTerapia com Selton Melo é a melhor!  Inclusive, cadê a 5T, Glô? @globoplay @canalgnt",#SessãoDeTerapia
7,2021-04-12,Namoral DR de casal psicanalista é tão culta kk mdss #sessaodeterapia,#sessaodeterapia
8,2021-04-12,"Eu estou achando que esse Breno é gay, mas não quer admitir para si mesmo. Ele fala, fala, fala para não ouvir a si. O Fábio tá sempre nas histórias. Eu só espero que esse Fábio seja muito gostoso. #SessãodeTerapia #Globoplay","#SessãodeTerapia, #Globoplay"
9,2021-04-12,"“Você não pode fugir de si próprio, mas deixar de fugir é uma escolha, e escolher implica em perder alguma coisa, mas implica em ganhar alguma coisa nova. iiiiiih ruim né.” #sessaodeterapia",#sessaodeterapia
11,2021-04-10,"Tava ansiosa p série, mas confesso q to achando bem arrastada. #sessaodeterapia",#sessaodeterapia
13,2021-04-10,Tô amando essa série #SessãoDeTerapia no @globoplay!,#SessãoDeTerapia
14,2021-04-09,"Tô quase terminando a primeira temporada de #SessãoDeTerapia e já decidi que psicanálise não é uma opção, não vou conseguir ser terapeuta de adultos...",#SessãoDeTerapia
15,2021-04-09,Mta coisa q lemos na literatura é meio q materializado lá #sessaodeterapia,#sessaodeterapia
18,2021-04-09,"""A solidão é perigosa. É viciante. Uma vez que você se dá conta de quanta paz há nela, você não quer mais lidar com as pessoas"". #correndopraterapia #terapia #sessaodeterapia #rivotriltáon #rivotril","#correndopraterapia, #terapia, #sessaodeterapia, #rivotriltáon, #rivotril"
19,2021-04-09,"Eh incrível o que a fala de um bom terapeuta pode causar na gente né? Tive sessão ontem e minha noite de sono, depois dos últimos acontecimentos do fim de semana, foi totalmente em paz. Amo minha psicóloga. Bom dia. #SessãoDeTerapia",#SessãoDeTerapia
20,2021-04-08,Tenho um convite para você!  Ao invés de pensar: “ por que isso está acontecendo comigo?” Pense: “o que preciso aprender com essa situação.”  Tudo acontece com o propósito de ensinar algo.   #Ansiedade #depressao #autoconhecimento #sessaodeterapia #NaoéFrescura,"#Ansiedade, #depressao, #autoconhecimento, #sessaodeterapia, #NaoéFrescura"
21,2021-04-06,"que personagem odioso e que texto bem feito, excelente interpretação do Guizé #SessãoDeTerapia",#SessãoDeTerapia
22,2021-04-06,"Lembrei quem Arthur me faz lembrar  É o Breno, personagem do Sérgio Guizé na 1a temp de #SessaoDeTerapia   Só não tem Theo no #BBB21","#SessaoDeTerapia, #BBB21"
23,2021-04-05,Chamar o Selton Mello para umas sessões de terapia no BBB21. #bbb21 #sessãodeterapia,"#bbb21, #sessãodeterapia"
24,2021-04-05,"Sem dúvidas a Carol é a paciente que eu estou mais amando na segunda temporada de #SessãoDeTerapia, caraca eu to tendo uma outra percepção sobre alguém diagnosticado com câncer, que tormento absurdo, pressão pra porra.",#SessãoDeTerapia
26,2021-04-03,a yag já tá pouca desgraçada da cabeça aí ela vai lá e assiste #sessãodeterapia no @globoplay,#sessãodeterapia
27,2021-04-02,Nossa essa série Sessão de Terapia é  perfeita! 💓 #globoplay #sessaodeterapia,"#globoplay, #sessaodeterapia"
28,2021-04-01,Tava aqui vendo #sessãodeterapia no @globoplay e toda vez que vejo algum encontro de personagens e eles se abraçam eu fico tenso por causa da pandemia! Com vocês também é assim ? 🥺,#sessãodeterapia
29,2021-04-01,A voz do Selton Mello meu deus 🤤. #redebbb #bbb21 #sessaodeterapia,"#redebbb, #bbb21, #sessaodeterapia"
35,2021-03-31,"Se alguém ai quiser formar un Cartel, manda uma DM!  #piscanálise #psicanalistas #lacan #freud #terapia #psicoterapia #SessaodeTerapia #psi #psicologia #cartel #carteis #cartelpsicanálise","#piscanálise, #psicanalistas, #lacan, #freud, #terapia, #psicoterapia, #SessaodeTerapia, #psi, #psicologia, #cartel, #carteis, #cartelpsicanálise"
