,date,tweet,hashtags
4,2021-04-26,@baek8hyun mandando texto positivo no insta dela depois falando essa asneira #setembroamarelo,#setembroamarelo
5,2021-04-26,duda: vo acordar morta antonip: vc nao vai acordar vc vai ta morta  #jamta #setembroamarelo,"#jamta, #setembroamarelo"
9,2021-04-19,NÃO espere chegar SETEMBRO para falar do suicídio.   #setembroamarelo #diganãoaosuicidio,"#setembroamarelo, #diganãoaosuicidio"
10,2021-04-18,Lembre-se que Depressão e Ansiedade tem cura . Não fique sozinhe. Não se sinta culpado. #13REASONSWHY #AJUDA #CURA #SETEMBROAMARELO #CAMPANHA #JESUSTEAMA #IGREJA #IPTM #MF #MINISTÉRIODAFÉ,"#13REASONSWHY, #AJUDA, #CURA, #SETEMBROAMARELO, #CAMPANHA, #JESUSTEAMA, #IGREJA, #IPTM, #MF, #MINISTÉRIODAFÉ"
11,2021-04-17,@davxdrugs @swtluiz apaga issoooo davi #setembroamarelo 💛💛💛💛💛,#setembroamarelo
12,2021-04-16,@yasmnsh to bricnando davi #setembroamarelo amoo eleCoração amareloCoração amareloCoração amareloCoração amarelo,#setembroamarelo
14,2021-04-15,"@resende_jerusa @juliettefreirec @queenofdesertt Exato feito por cientista renomado, então para de digitar bosta na internet. Usa suas palavras pra desejar boa sorte pro seu fav e dx de ser amarga e falar coisas ruins para as pessoas. Depois vc tá digitando #empatia #setembroamarelo","#empatia, #setembroamarelo"
15,2021-04-15,Jullietter metendo o pau no gil pq ele tá tendo um surto claramente de saúde mental. Mas ne #setembroamarelo. Um dos problemas da ansiedade é a paranoia.,#setembroamarelo
17,2021-04-13,saude mental hein #setembroamarelo haha 4000 mortos faça o trabalho,#setembroamarelo
18,2021-04-13,@_joyvn @vinciUsUs Sua dor não anula a nossa #setembroamarelo,#setembroamarelo
19,2021-04-12,@meantt0beyours que hate gratuito é esse  #setembroamarelo,#setembroamarelo
21,2021-04-11,"Este dias a depressão e pânico estão batendo forte. Batendo não, derrubando mesmo.  Duro que povo só dá moral no #setembroamarelo. #depresao #saudemental","#setembroamarelo, #depresao, #saudemental"
22,2021-04-09,"@liviaandradezn O povo da internet é cruel. Acabam com a vida de uma pessoa, mas TD ano estão fazendo campanha com a #SetembroAmarelo. Uma hipocrisia do caraio. Só que DEUS não falha e a vida devolve o que cada um planta. Desejo a vc muita luz, prioridade e bênçãos. Vc é amor @liviaandradezn .",#SetembroAmarelo
23,2021-04-07,"Sem contar q mts vezes ignoram, enfim é MTA falta de empatia e mta hipocrisia pq em setembro só vejo os alecrim postando #setembroamarelo 😔✊",#setembroamarelo
24,2021-04-07,@nasseroficial Aí o alecrim dourado achando bonitão esse massacre. Em setembro tu coloca #setembroamarelo,#setembroamarelo
25,2021-04-06,"@FernandaKeulla Os seres perfeitos da internet preferem atacar, mas em setembro escrevem textinhos nos instagram pedindo empatia. #setembroamarelo. Gente hipocrita",#setembroamarelo
26,2021-04-06,Não adianta classificar a dor do outro como “mimimi” e depois passar óleo de peroba na cara e postar/repostar sobre #setembroamarelo. Seja no mínimo coerente.,#setembroamarelo
27,2021-04-06,Hoje é mimi aí em setembro posta textinho bonito com a #setembroamarelo.,#setembroamarelo
31,2021-04-02,a melhor coisa que eu fiz foi dropar o bbb por um tempo amaram? #GloboLixo #globocomunista #antiglobo #setembroamarelo #pas #amor #esperança #amomuitotudoisso #mamaebabona #diversidade #LGBTQ #vida,"#GloboLixo, #globocomunista, #antiglobo, #setembroamarelo, #pas, #amor, #esperança, #amomuitotudoisso, #mamaebabona, #diversidade, #LGBTQ, #vida"
32,2021-04-01,"@gabediax nesse momento senti uma enorme empatia por ele, não concordo com o jogo dele porém o entendo, porque desde os meus 15 anos tentativas de suicídio e automutilação ainda são presentes na minha vida. e o mesmo povo que tirou sarro dele é o mesmo que levanta a tag #setembroamarelo",#setembroamarelo
33,2021-03-31,@Yasmin_Rossi_ não se mata não pfvr  #setembroamarelo,#setembroamarelo
34,2021-03-31,Hoje faz piadinha com crise psicológica do Gil mas em Setembro posta hashtag #SetembroAmarelo e fotinha com fundo amarelo falando pra alguém procurar ele pra cuidar ajudar a cuidar da saúde mental 🤡,#SetembroAmarelo
35,2021-03-30,"todo mundo debochando da dor do gil mas em setembro é: ""a dor do outro não é brincadeira #setembroamarelo""",#setembroamarelo
36,2021-03-30,"@soukakaio Rindo agora. Postando #setembroamarelo daqui uns meses, povo falso’",#setembroamarelo
37,2021-03-30,@ionlytoldtmoon falam que é exagero e que ele é surtado 😍😍 uau quanta empatia #setembroamarelo,#setembroamarelo
38,2021-03-30,"O twitter todo chamando o Gilberto de exagerado, falando que fez show, teatro e drama porque o cara acabou de ter uma crise de ansiedade :) É lindo depois postar #setembroamarelo nas redes sociais sem a menor sensibilidade pra identificar ansiedade",#setembroamarelo
39,2021-03-30,"E agora,Ele só deseja q você venha descobrir mais coisas Dele,Ele tem mais pra se descobrir, NÃO como uma religião 🙄,mas como A PESSOA QUE MORREU E RESSUSCITOU EM SEU LUGAR! JESUS TE AMA MANO  #jesusteama #Deuscriador #voceéimportante #identidade #setembroamarelo","#jesusteama, #Deuscriador, #voceéimportante, #identidade, #setembroamarelo"
41,2021-03-26,@lamarpov gente? #setembroamarelo,#setembroamarelo
45,2021-03-24,"@ph1212000 nunca falei que todos são lindos, inclusive disse que você é feio #setembroamarelo",#setembroamarelo
46,2021-03-24,@JoaoNishiimura mas nao foi vc q postou no ano passado #setembroamarelo?,#setembroamarelo
47,2021-03-24,@evelisic @viincennzo @ssarahandrade @vitarella_ Dps puxa #SetembroAmarelo 👏🏻,#SetembroAmarelo
48,2021-03-23,Juliette falando que não queria acordar. #setembroamarelo,#setembroamarelo
49,2021-03-23,@asmodeusae imagina poder fazer um rolezinho sem que tenha um zé fudido gravando tudo pra zoar. e vim em setembro e postar ''não a bullying #setembroamarelo'',#setembroamarelo
50,2021-03-23,"@AlannaFreitass Amiga, não zoa que pode ser doença #SetembroAmarelo #YellowSeptember","#SetembroAmarelo, #YellowSeptember"
51,2021-03-23,@franfgarcia O melhor de tudo era que eu nunca tinha falado nem com metade da turma e as pessoas achavam q sabia mais da minha vida do q eu.. eh a turma do #SetembroAmarelo que só aparece p lacrar.. haja saúde mental pros influencers de pelotas 💤🥱,#SetembroAmarelo
53,2021-03-21,"Legal tudo isso, mas em setembro você tão assim: #setembroamarelo #vocenaoestasozinho  💛💛💛💛💛💛💛💛💛💛","#setembroamarelo, #vocenaoestasozinho"
54,2021-03-20,@ogvtnc que isso mano #setembroamarelo,#setembroamarelo
55,2021-03-20,não se matem #setembroamarelo,#setembroamarelo
57,2021-03-17,"@IsabelaaFreitas Vai dar pitaco em um relacionamento que vc não está e nem acompanha.... que lindoooo, Isabela! Parabéns por incentivar o cancelamento de duas pessoas que nem podem se defender! Vamos acompanhar a hipocrisia daqui uns meses qdo ocorrer o #SetembroAmarelo 🙃",#SetembroAmarelo
58,2021-03-16,@vaidesmaiar quero ver vocês no #setembroamarelo,#setembroamarelo
63,2021-03-15,@pradoprincesa ai chega setembro: #setembroamarelo #empatia #amoraoproximo 😍😍😍😍😍😍,"#setembroamarelo, #empatia, #amoraoproximo"
65,2021-03-11,Usar #setembroamarelo e fazer campanha de valorização a vida eh fácil... cadê o posicionamento da @abpsiquiatria sobre o ocorrido hj na live do que ocupa o carga de presidente?,#setembroamarelo
66,2021-03-11,"isso msm amigas, agr dps de brincar com as inseguranças dela e ainda debochar dela na internet n esqueçam de postar fotinha e # do setembro amarelo ta bom??? #empatia #setembroamarelo 💛💛💛💛💛💛","#empatia, #setembroamarelo"
