,date,tweet,hashtags
0,2021-04-26,Lembrança do insta hj é Qnd eu era voluntária do cvv mermao era vários atendimentos bizarros mas era totalmente gratificante saber que ajudei salvar algumas vidas #suavidaimporta 💛,#suavidaimporta
2,2021-03-21,e parem de esperar o setembro amarelo chegar pra dizer que #suavidaimporta PELO AMOR DE DEUS,#suavidaimporta
4,2021-01-09,"Agora aquela garotinha já cresceu, e não acredita mais em conto de fadas, pois ela vive em um conto de terror, onde está sempre com dor.  #saudemental #suavidaimporta","#saudemental, #suavidaimporta"
11,2020-12-26,"@Bene19641436 @ElaineCB4 @BiancaFigSantos @jdoriajr Calma Bene, fique em casa mais uns 5 anos pra garantir. #SuaVidaImporta",#SuaVidaImporta
12,2020-12-23,@favsaguiar vc foi diagnosticado com síndrome de heteror procure o sus mais próximo  #suavidaimporta,#suavidaimporta
13,2020-12-03,@imfactuss @chevroletbrasil Os carros são bons? Pra mim são um lixo por completo  #onixProblemaNoCambio #RecallChevrolet #SuaVidaImporta,"#onixProblemaNoCambio, #RecallChevrolet, #SuaVidaImporta"
15,2020-11-16,"Tudo na vida passa, momentos bons, ruins, dores, sofrimento, felicidade, td vira passado! Não desista da sua vida por um fato que ocorreu, pois daqui alguns anos vc vai olhar para trás e vai pensar: que bom que acabou, que bom eu não desisti!  #suavidaimporta #tudopassa","#suavidaimporta, #tudopassa"
16,2020-11-15,Nem teus piores inimigos podem fazer tanto dano como teus próprios pensamentos.  Buda  #cvv #cvv188 #saudemental #suavidaimporta,"#cvv, #cvv188, #saudemental, #suavidaimporta"
17,2020-10-22,@KSaffra Qualquer você pode desabafar cmg só chamar aí #depressaoéserio #suavidaimporta,"#depressaoéserio, #suavidaimporta"
18,2020-10-14,Você é Suficiente Você é Capaz Você Não é oq os outros dizem Você é Incrível e Importante Sua Vida Vale Mais Que o Mundo Inteiro.  #SuaVidaImporta,#SuaVidaImporta
19,2020-10-03,Ansiedade não é pressa para o próximo dia. É falta de ar. É sentir um medo incontrolável. É antecipar seus fracassos antes mesmo da tentativa. 💛 #suavidaimporta,#suavidaimporta
20,2020-09-30,"Setembro está chegando ao fim, mas a nossa luta pela valorização da vida irá continuar 24 horas por dia, por 7 dias na semana e por 12 meses no ano! 🎗  #SetembroAmarelo  #SuaVidaImporta #VemPraFJU","#SetembroAmarelo, #SuaVidaImporta, #VemPraFJU"
21,2020-09-28,+através do nosso clube! ✨💛 . Você não está sozinho!  . #Disque188 #SetembroAmarelo #VoceNaoEstaSozinho #SuaVidaImporta #Rotary #Interact #oRotaryAbreOportunidades,"#Disque188, #SetembroAmarelo, #VoceNaoEstaSozinho, #SuaVidaImporta, #Rotary, #Interact, #oRotaryAbreOportunidades"
