,date,tweet,hashtags
0,2021-04-15,Hoje minha psicóloga judiou! #façaterapia #terapiaevida,"#façaterapia, #terapiaevida"
1,2021-03-30,Que VT maravilhoso e necessário #terapiaevida,#terapiaevida
2,2021-03-30,Estou com tanto orgulhinho de mim! #terapiaévida  https://t.co/vq0IBffIYl,#terapiaévida
3,2021-03-23,"@Annewithandbee Não acho caro, uma vez que prefiro pagar uma terapia e amenizar os efeitos da ansiedade, do que pagar por remédios que muitas vezes vão prejudicar outro ponto e não vai fazer tão bem quanto 1 hora com psicólogo! #façaterapia #terapiaévida 😅","#façaterapia, #terapiaévida"
4,2021-03-16,Hoje a terapia foi tão intensa que sinto que preciso de terapia pra lidar com a terapia! #saudemental #terapiaevida,"#saudemental, #terapiaevida"
5,2021-03-15,"""E no meio de um inverno eu finalmente aprendi que havia dentro de mim um verão invencível."" 🌻  #bomdia #terapiaévida #terapiacomflorais #gratidão  #psicologiaonline em Aonde A Paz Prevalece  https://t.co/R9jm2Q0X7Q","#bomdia, #terapiaévida, #terapiacomflorais, #gratidão, #psicologiaonline"
6,2021-03-08,"@nathaliatoscano vc deveria começar por tentar quebrar esse ciclo ao invés de renová-lo, não adianta todo ano 'novo ano novo eu' quando o seu novo 'eu' resgata o passado ao invés de focar no futuro #terapiaévida",#terapiaévida
7,2021-03-05,@thoughtsloadin @MahmoudOficial_ Se pagar o minha terapia eu aceito. #terapiaévida 💚,#terapiaévida
9,2021-02-26,Pense nisso.  André Barbosa   #façaterapia #psicologia #terapiacognitivocomportamental #cognitivocomportamental #terapiaévida #pensamentododia #autoconhecimento #autoestima #amorproprio #psicoterapia em O Psicólogo  https://t.co/fqyhqCTIy1,"#façaterapia, #psicologia, #terapiacognitivocomportamental, #cognitivocomportamental, #terapiaévida, #pensamentododia, #autoconhecimento, #autoestima, #amorproprio, #psicoterapia"
10,2021-02-23,"#Repost @psirodrigoalcantara • • • • • • Terapia é VIDA! @psirodrigoalcantara  . . #psirodrigoalcantara #terapiaonline #façaterapia #terapiaévida #psicoterapia #procureumpsicólogo em Brasília, Brazil  https://t.co/5KEH933noY","#Repost, #psirodrigoalcantara, #terapiaonline, #façaterapia, #terapiaévida, #psicoterapia, #procureumpsicólogo"
11,2021-02-20,Um lindo Sábado ❤️ Segue a Agenda de atendimentos online aos sábados 📲📲📲 #soupsicologocommuitoorgulho #terapiacognitivocomportamental #terapiaévida #autoconhecimento #essencia #deusébomotempotodo #deusnocontrole #amem🙏  https://t.co/GKgTi4yqTz,"#soupsicologocommuitoorgulho, #terapiacognitivocomportamental, #terapiaévida, #autoconhecimento, #essencia, #deusébomotempotodo, #deusnocontrole, #amem"
12,2021-02-16,"Terapia é vida, demorei anos para ter coragem + ter grana pra bancar, antes tarde do que nunca. Feliz demais por estar a cada dia mais me encontrando...🥰 #terapiaévida #facaterapia","#terapiaévida, #facaterapia"
13,2021-02-10,"Buscar acompanhamento psicológico ou/e psiquiátrico é sinal que tu se importa consigo, e não importa o que os outros achem. O seu querer, seu auto cuidado e sua aceitação valem muito mais que qualquer opinião. #terapiaevida",#terapiaevida
14,2021-02-08,"O melhor insight da vida, foi perceber que nos últimos 10 anos meu inconsciente me capacitou a não aceitar mixarias como demonstração de amor líquida, hoje aqui só entra o que é sólido!!! #insigth #terapiaévida #terapia #autocuidado #autodescoberta","#insigth, #terapiaévida, #terapia, #autocuidado, #autodescoberta"
15,2021-02-01,A fatura da terapia de Davi eu pago sorrindo. Um dos melhores investimentos que posso fazer por ele (na minha opinião). #terapiaévida,#terapiaévida
16,2021-01-07,@dorapalmiteira sim precisa de terapia todos nos precisamos #terapiaevida,#terapiaevida
19,2020-12-06,Depois que eu resolvi sair do fundo do poço em que me encontrava e aceitar que eu necessitava de ajuda psicológica novamente .. 80 %.  #TerapiaeVida,#TerapiaeVida
20,2020-11-11,"Parece que nunca fiz terapia, dando aquele nervosismo quando chega a hora 😍😂 Ainda bem que o momento atual eu pude fazer com meu psi de Caruaru, sendo on-line. 🙏🏻🙌🏻🥰 #terapiaévida",#terapiaévida
22,2020-10-15,Bom dia! 😊  .  #psicoterapiaonline #psicoterapiaparatodos #psicoterapia #psicoterapias #psicologiaclinica #psicologos #analisecomportamental #analisedocomportamento #desapego #amor #amorproprio #terapiaévida  https://t.co/2IDxiqauFO,"#psicoterapiaonline, #psicoterapiaparatodos, #psicoterapia, #psicoterapias, #psicologiaclinica, #psicologos, #analisecomportamental, #analisedocomportamento, #desapego, #amor, #amorproprio, #terapiaévida"
23,2020-09-23,@naluhzita Feliz que esteja bem #terapiaevida,#terapiaevida
24,2020-09-22,"Agora chega de circo e vamos falar sério. Se você busca terapia pra ouvir só o que quer, está buscando aliados pro seu mimimi!  #terapiaevida #constelaçãofamiliar #consteleisso","#terapiaevida, #constelaçãofamiliar, #consteleisso"
25,2020-09-17,#tbt amoroso do poder da Constelação Estrutural na vida .  Estamos atendendo online. Com esses resultados lindos!!! ❤️❤️❤️❤️❤️❤️❤️  #terapiaévida  #constelacaosistemica  #terapiaonline  https://t.co/OfgXV6r2F6,"#tbt, #terapiaévida, #constelacaosistemica, #terapiaonline"
26,2020-09-17,Viajar é maravilhoso! #viajarépreciso #terapiaévida #recordações #memoriesforlife 🌴🌊#pipa #pipabeach  https://t.co/R2uI7BDbMs,"#viajarépreciso, #terapiaévida, #recordações, #memoriesforlife, #pipa, #pipabeach"
27,2020-08-28,Uma imagem que me traz paz. Santa terapia #umc #amomuitotudoisso #terapia #terapiaévida #psico em UMC Universidade de Mogi das Cruzes  https://t.co/HFYHjKiEiK,"#umc, #amomuitotudoisso, #terapia, #terapiaévida, #psico"
28,2020-08-28,"Se um dia desisti,reclamei ou desacreditei de terapia,me arrependo profundamente...#terapiaévida🙆😍",#terapiaévida
30,2020-08-26,"tarefa que Doutor Altino (meu psicologo) passou ""pra casa"": escreva 10 missões que vc tem que cumprir, liste as três mais importantes. Aí gente, todo mundo deveria fazer terapia! #terapiaévida #Psicologia #organizaçãomental","#terapiaévida, #Psicologia, #organizaçãomental"
31,2020-08-19,"As vezes eu fico espantado comigo mesmo , o quanto eu mudei e amadureci idéias e atitudes. Hoje eu e orgulho muito do Calebe que me tornei. #Terapiaévida",#Terapiaévida
32,2020-08-07,"Se precisarem de atendimento terapêutico a distância, vejam o link da bio Se tiver dúvida, me chame no Whatsapp.   #terapiaévida❤️  https://t.co/QN8WmHMc7b",#terapiaévida
33,2020-07-31,Não da pra “mudar” alguém que não ver problemas nas próprias atitudes  .  #terapiaevida #terapia #Psicologia,"#terapiaevida, #terapia, #Psicologia"
34,2020-07-31,"Quem nunca ??  #reflexão #terapiaévida #recife #viverbem #xôansiedade em Boa Viagem, Pernambuco, Brazil  https://t.co/j02kN8AWMD","#reflexão, #terapiaévida, #recife, #viverbem, #xôansiedade"
36,2020-07-29,"É impressionante como ainda precisamos avançar, hoje eu disse a uma pessoa: vou a terapia,  A pessoa: Nossa você não está bem da cabeça?!  Eu: Não estou indo pra não ficar mal... 😷🥰 #terapiaévida",#terapiaévida
37,2020-06-17,Só por sexta #terapiaevida,#terapiaevida
