,texts,targets
0,Minha ansiedade parece uma bomba prestes a explodir...,0
1,Ansiedade é pra tomar no cu velho 😓😭,0
2,to fumando dms mas n consigo parar com essa ansiedade aaaaaaaa,0
3,@Giovanna_CRF2 Mamãe com muita ansiedade👣😍❤,0
4,"@LucasCollar Eu acho que o projeto está correto, estamos evoluindo e vamos ter um time ao menos competitivo para o ano.  Três meses de trabalho apenas, temos que ter menos ansiedade e apontar os possíveis equívocos de maneira construtiva. Este não é o time titular, vai mudar ao longo do ano.",0
5,"@AndreSanna2 Cara, pegando o poço da tristeza vira a direita e aí anda uns 100 metros e vira a esquerda. Vai encontrar o poço da raiva/ansiedade. To nele.",0
6,caralho dani pq vc fica com ansiedade com QUALQUER COISA,0
7,mds pqp Landim destruiu a Globo vai ter transmissão hoje q ansiedade nunca pensei q ficaria ansioso pra assistir Flamengo x bangu até comi as vírgulas pqp,0
8,@Thalinho0 Aii minha ansiedade (e o fone nem é meu),0
9,Desde 9 horas que tô direto correndo pro banheiro pela ansiedade de comprar os ingressos,0
10,Hoje estar sendo meu último domingo trabalhando nesse lugar. Ai que ansiedade pelo meu futuro.,0
11,Hoje Eu fui pra academia. Uma grande vitória para uma pessoa que está na mão da ansiedade umas 3 semanas.,0
12,livinho se isso for marketing vc me paga pq minha ansiedade ta foda mas se não for que Deus te proteja pq que aflição desses vídeos:(,0
13,hoje estou um poço de ansiedade ambulante,0
14,O ruim quando o time da gente perde é à ansiedade para o próximo jogo pela mesma competição.,0
15,se toda vez                  que eu ficasse  passando mal com ansiedade com coisas q nem aconteceram ainda                        sumisse um pedacinho de mim                               opa  cadê eu,0
16,Minha ansiedade vai me matar,0
17,a ansiedade sempre encontra um jeito de aparecer quando menos esperamos pra dizer ei eu tô aqui decidi fazer uma visitinha pra você,0
18,ansiedade rouba sono de mts aqui.,0
19,acho chique quem conseguiu dormir pois minha ansiedade nao está colaborado no momento,0
20,a ansiedade faz vc pensar cada coisa,0
21,"O WhatsApp não mais mostrando “online” ou “digitando” é o pulo perfeito para as pessoas voltarem às chamadas telefônicas tradicionais, ainda mais em tempos de ansiedade nas alturas, para muitos.",0
22,GENTE EU TO QUASE TENDO UM ATAQUE DE ANSIEDADE LIVE DA DAY,0
23,"Essa ansiedade tá acabando cmg, inferno",0
24,9 dias pro meu aniversário e eu to “dane- se”! Cadê a ansiedade de se preparar 1 mês antes pra fazer nada? Não to entendendo 🤦🏼‍♀️💔,0
25,"to com dermatite na cabeça por causa de ansiedade, pqp",0
26,"olha, sinceramente, minha ansiedade tá de parabéns, hoje ela conseguiu passar do extremo",0
