,texts,targets
5610,Estou surtando c crise de ansiedade pq o cara ta quase expulsando meu pai do posto e o moço do uber n deixou eu pedir a viagem pro alex pelo amor eu vo morre,2
3168,"Hj eu descobri q tô doente e q pro meu tratamento funcionar eu tenho q controlar minha ansiedade e meu emocional, daí o Shawn me vem com esse álbum q parece uma terapia pra mim e q me deixou tão feliz e tranquila, ele realmente é um anjo na minha vida tenho q ser muito grata 🥺",1
11035,"eu raramente comento sobre esses assuntos aqui no meu tt mas essa história toda passou da noção, depressão, ansiedade, suicídio não são brincadeiras, não são coisas pra ser usadas em fanwar, quem passa ou passou por isso sabe o quanto é ANGUSTIANTE você ter que viver com",4
8963,estudar até hj não me trouxe nada além de depressão e ansiedade,3
10391,"eu falo p menino q n lembro se dormi a noite e q to acostumada com isso e ele fala, ah vc deia ta estressada e tal, mal sabe ele q eu tenho insonia depressao e ansiedade e q vivo estressada KKKKKKKKKKK",3
1412,Eu odeio ter ansiedade.,0
3139,"@laryssaqlute sim, comecei a desenvolver ansiedade no final do ano passado e aff é horrivel, tenho altos e baixos. O pior é que se meus pais quisessem poderiam pagar psicologo pra mim, mas eles acham frescura ://",1
9471,@SaoPauloFC ganha  pf  eu tenho depressao ansiedade e etc preciso q vcs ganhem,3
2610,@mendoiim Dá é ansiedade de saber que depois de se postar já não se pode alterar nada  Por isso eu faço e refaço várias cenas para ver se fica bom  Só que com estes testes todos já não posto nada há 5 meses  E depois vem a ansiedade ao saber que o canal está a morrer,0
3549,"@gaaby_magalhaes Nossa minha ansiedade anda a mil e essa semana eu disse pra psicóloga q eu parecia uma galinha, assusto com tudo, é só chegar perto de mim q me tremendo toda ela ficou????",1
5113,existe um abismo entre ansiedade e ansiedade generalizada  simplesmente parem de achar q porque vcs balançam a perna são dignos de psiquiatra,1
9055,@armi7n apaga pfv eu tneho depressão ansiedade carencia,3
9461,Isso explica tanta ansiedade e depressão no país tão grande como o Brasil. E um desperdício de horas da sua vida que você poderia tá estudando ou vendo coisas que vão te fazer evoluir e não regredi aí po feito um nada.,3
4997,"fui no psicologo, a medica disse q eu tenho ansiedade generalizada e q eu tenho q ir num psiquiatra pra ele me passar a medicaçao, e mole? quem poderia imaginar",1
4637,falei sobre tudo com a minha psicologa menos sobre a minha ansiedade por causa desse isolamento,1
3575,"@loucarolouca Nunca, é reflexo do meu problema de ansiedade. Eu era a pessoa que acordava meio dia e podia ta tendo tiroteio na minha janela q eu não escutava. To sofrendo bastante, tenho consulta com a psiquiatra no sábado",1
10233,@dorafigueiredo Ele tem ansiedade e depressão e claramente não está bem. Muita pena real,3
6075,a tempos n tinha uma crise de ansiedade igual essa q tive de madrugada horrível,2
4691,são da terapia caindo de sono. acho q o remédio pra ansiedade que tomei antes de ir + a sessão de terapia = me acalmaram e sugaram todas as minhas energias,1
4960,"Pensando em começar terapia mesmo.   Visto que estou afastada dos esportes e meu pé não tá 100% e não sei quando realmente vou conseguir voltar.  O que tem atacado minha ansiedade, pq me sinto agoniada a todo momento.",1
10548,"@marte_awqakuq O Brasil tem um índice alto de ansiedade (9.3% da população) e depressão (5.6%), estresse também é bem comum Mas são coisas diferentes. Pessoas com TDAH e autismo, por exemplo, nascem com essa condição e vivem com ela pra sempre, fora as comorbidades.",3
7572,Acorda no meio da noite e ter uma leve crise de ansiedade é foda 🤦🏻‍♀️,2
6800,Crise de ansiedade eu te odeiooooooooooo,2
4653,@kaplausius Tlg. Vou esperar. Terapia contra ansiedade rsss,1
12723,mãe pfv para de me dizer que eu não presto pra nada e que eu tô te matando aos poucos eu tenho ansiedade e tendência suicida,4
12700,"@caoticamenteale quando tenho crises de ansiedade eu faço um áudio e desabafo só pra mim mesma e depois escuto.. respiro fundo e falo que vai passar  quando penso em suicídio eu me corto, eu soco a parede eu faço qualquer coisa pra tirar essa merda do pensamento, pq não sei se acontece com vocês",4
3996,"@cellbit Tem muita coisa que você fala nos vídeos que não dá pra entender. Sugiro procurar um psicólogo para falar abertamente sobre isso, pois isso é um problema e dá pra corrigir. Para o problema de ansiedade, você pode tomar calmantes naturais, isso ajuda bastante.",1
4846,"@haizxylo Vai sim, indico vc fazer meditação guiada pra ansiedade, minha psicóloga me indicou isso",1
1756,jogo é 19:30 e eu to na ansiedade d como se fosse daqui a pouco kkkkkk,0
1221,"se eu vou passar o dia inteiro na faculdade porque trabalho lá e tenho aula eu fico PÉSSIMA. se eu fico em casa é menos ruim, mas acabo ficando mal também. a ansiedade dos últimos tempos tá difícil demais!!!!!!",0
31,"@mondler_20 Eu sempre tive problema de ansiedade, só que a medida que foi agravando mais eu desenvolvi a compulsao alimentar, ganhei 10kg desparado sendo que eu ja era acima do peso, ai desde final do ano passado comecei a passa mal e os medicos diziam que era gastrite por causa da minha+",0
4388,ansiedade social nao me deixa nem tentar fazer terapia de graça pelo wpp em paz mano vai toma no cu,1
11893,"@KaioLuis Amigo eu tbm, mas a geração de adolescentes atual é uma das mais estressadas desde a geração de adolescentes pós-segunda guerra mundial, os índices de suicídio estão subindo, mais e mais adolescentes são diagnosticados com ansiedade e depressão (+)",4
