,0
0,"#Ansiedade, #ansiedadenaoéfrescura, #Terapia, #Psicologia, #SaudeMental"
1,"#SiriNaCâmara, #CâmaraMunicipal, #RiodeJaneiro, #ZonaOesteRj, #Saúde, #SaúdeMental"
2,"#saúde, #COVID19, #SaúdeMental, #mentalhealth, #pandemia"
3,"#saúdemental, #Ordes, #Frades, #Mesía, #Tordoia, #Trazo"
4,"#saúdemental, #bbb"
5,"#façaterapia, #saúdemental"
6,"#saudemental, #psicologia, #psicoterapia"
7,"#psicologia, #psicoterapia, #saúde, #mente, #saúdemental, #transtornosdeansiedade, #transtornodeansiedade, #ansiedade"
8,"#relacionamentos, #relaçãosaudavel, #casais, #amigos, #SaudeMental"
9,"#VacinaPraTodos, #VivaOSuS, #SaudeMental, #VamosVencer, #EsperançaRenovada"
10,"#Democracia, #Cidadania, #SaúdeMental, #VacinaSim, #VacinaParaTodos, #VacinaJa"
11,"#icmc, #saudemental, #usp"
12,#saúdemental
13,"#psicologia, #psicologo, #saudemental, #saudeemocional, #terapiacognitiva, #terapiacognitivocomportamental, #cognitivebehavioraltherapy, #psicoterapia, #presidenteprudente, #terapeuta, #consultório, #boanoite"
14,"#SaúdeMental, #Triste"
15,"#Terapia, #SaúdeMental, #Psicologia, #Brasil"
16,"#relacionamentos, #psicoterapia, #saúdemental"
17,"#saudemental, #chupaasociedade"
18,"#luto, #pandemia, #SaudeMental, #LuaRosa, #weed"
19,"#cametá, #ProfissãoRepórter, #SaudeMental"
20,"#Psicologia, #profissãorepórter, #pandemia, #SaudeMental"
21,"#globoreporter, #SaudeMental"
22,"#covid, #covid19, #coronavirus, #Depressao, #ansiedade, #profissãorepórter, #sindromedopanico, #saudemental"
23,"#confinamento, #quarentena, #homeoffice, #coronavirus, #pandemia, #covid, #covid19, #saudemental"
24,"#ConexãoRepórter, #SaúdeMental"
25,#SaudeMental
26,"#saudemental, #pandemia, #acordaporra, #naovaidarcerto, #ForaArthurPocahSaiDepois, #ForaBolsonaro"
27,"#cuidem, #SaudeMental, #seame"
28,"#SaudeMental, #Cansada"
29,"#terapia, #saudemental, #autoconhecimento, #autocuidado"
30,"#SaudeMental, #Saude, #VacinaParaTodos"
31,"#Terapia, #SaudeMental, #saudeemocional"
32,"#altruísmo, #bondade, #estresse, #SaudeMental"
33,"#DepressãoNãoÉfrescura, #SaúdeMental, #ProjetoVocêImporta"
34,"#pandemia, #SaudeMental"
35,"#SaudeMental, #Mindset"
36,"#Deus, #memória, #perdoar, #saudemental"
37,"#SaúdeMental, #FaçaTerapia"
38,"#saudefisica, #saudemental, #saudeespiritual"
39,"#psicologiapositiva, #saudemental"
40,"#Inquérito, #SaúdeMental, #Política, #Portuguesa"
41,#saudemental
42,"#cuidadosempre, #Saudemental, #atividadefisica, #caminhada, #love, #VacinaParaTodos"
43,"#SaudeMental, #pandemicfatigue"
44,"#CNNNossoMundo, #SaúdeMental"
45,"#terapia, #terapiaparatodos, #saudemental, #meioloucameiozen"
46,"#positividade, #gratiluz, #saudemental, #foco, #paz, #equilibrio, #oracao, #fe, #deus"
47,"#pandemia, #ForaBolsonaro, #saudemental"
48,"#SaúdeMental, #SaludMental"
49,"#lutaantimanicomial, #corteinteramericana, #saudemental, #direitoshumanos"
50,"#Psicologia, #psicólogaonline, #psicoterapia, #saudemental"
51,"#saudemental, #autoestima"
52,"#saude, #saudemental, #autoestima, #terapia, #psi, #autoconhecimento"
53,"#psicanalista, #psicanalise, #psicologia, #freud, #lise, #psican, #terapia, #psicoterapia, #saudemental, #autoconhecimento, #lacan, #psic, #psicanaliseclinica"
54,"#ansiedade, #saudemental"
55,"#reflexão, #bemestar, #façaporvocê, #saúdemental, #autocuidado"
56,"#PGEMA, #SaúdeMental, #MaranhãoContraOCoronavírus"
57,"#terapia, #ansiedade, #psicologo, #saudemental, #depressao"
