,trend
2021-05-01,17240.94422277203
2021-05-02,17199.272432631195
2021-05-03,17156.83880235113
2021-05-04,17114.1881965222
2021-05-05,17072.446205483302
2021-05-06,17033.0214269505
2021-05-07,16996.92155476144
2021-05-08,16964.988644361907
2021-05-09,16936.585425225967
2021-05-10,16910.75025892496
2021-05-11,16886.596141139467
2021-05-12,16864.45309863825
2021-05-13,16845.518285601847
2021-05-14,16830.712948024164
2021-05-15,16820.747382970603
2021-05-16,16815.533316914054
2021-05-17,16813.92825921305
2021-05-18,16814.840010903055
2021-05-19,16819.037667857512
2021-05-20,16827.34917594305
2021-05-21,16840.156207483902
2021-05-22,16857.604591569336
2021-05-23,16878.995684658963
2021-05-24,16903.673590342656
2021-05-25,16931.38366490738
2021-05-26,16962.10459364614
2021-05-27,16995.68357206138
2021-05-28,17031.262105284502
2021-05-29,17067.913146214367
2021-05-30,17104.170108934042
2021-05-31,17138.650836810222
2021-06-01,17170.327441891524
2021-06-02,17198.36225445356
2021-06-03,17221.938650120755
2021-06-04,17240.430403108512
2021-06-05,17253.20195097592
2021-06-06,17259.827462280107
2021-06-07,17259.747229358847
2021-06-08,17252.604152385986
2021-06-09,17238.454414517015
2021-06-10,17217.74257131218
2021-06-11,17191.367269322658
2021-06-12,17161.14356599255
2021-06-13,17128.335039222628
2021-06-14,17093.77142718492
2021-06-15,17059.116008651952
2021-06-16,17026.685330254244
2021-06-17,16999.565866116915
2021-06-18,16980.423037033666
2021-06-19,16970.901285131866
2021-06-20,16971.52228814071
2021-06-21,16981.843410486203
2021-06-22,17001.823565164264
2021-06-23,17032.016138039253
2021-06-24,17073.0071252473
2021-06-25,17124.626262838254
2021-06-26,17185.608282408713
2021-06-27,17253.770024140988
2021-06-28,17326.255448040887
2021-06-29,17401.766782849132
2021-06-30,17478.873597651414
2021-07-01,17556.118107294147
2021-07-02,17632.52885562521
2021-07-03,17707.60993767541
2021-07-04,17780.485117940807
2021-07-05,17849.790904706413
2021-07-06,17914.58162805852
2021-07-07,17975.084873768006
2021-07-08,18031.480364088184
2021-07-09,18083.657143226264
2021-07-10,18131.0608301619
2021-07-11,18172.68413316022
2021-07-12,18207.2015974675
2021-07-13,18233.382965746805
2021-07-14,18251.007854662774
2021-07-15,18260.863141526475
2021-07-16,18263.683198739804
2021-07-17,18259.6649842412
2021-07-18,18248.673778969904
2021-07-19,18230.419448250002
2021-07-20,18204.81331129374
2021-07-21,18173.0233001582
2021-07-22,18137.075588580905
2021-07-23,18098.849460736787
2021-07-24,18059.806653557906
2021-07-25,18020.82712306336
2021-07-26,17982.37469611377
2021-07-27,17944.855807617823
2021-07-28,17908.759158299144
2021-07-29,17874.85916400159
2021-07-30,17843.97539109509
2021-07-31,17816.765618972055
2021-08-01,17793.659517405486
2021-08-02,17774.62502765653
2021-08-03,17759.59092878797
2021-08-04,17748.604984220307
2021-08-05,17741.757713043567
2021-08-06,17739.38675623263
2021-08-07,17741.611156191728
2021-08-08,17748.380338602452
2021-08-09,17759.58459717378
2021-08-10,17774.993362903064
2021-08-11,17794.221326414423
2021-08-12,17816.928182480166
2021-08-13,17842.81161254359
2021-08-14,17870.86746793396
2021-08-15,17899.719217722686
2021-08-16,17928.057288813743
2021-08-17,17955.372908600013
2021-08-18,17981.22289366889
2021-08-19,18005.120077539894
2021-08-20,18026.431529424
2021-08-21,18044.021118483724
2021-08-22,18056.750569175678
2021-08-23,18063.524092757412
2021-08-24,18063.51105638074
2021-08-25,18057.199874639507
2021-08-26,18046.024267717323
2021-08-27,18031.297205876155
2021-08-28,18013.52976921065
2021-08-29,17992.725977061782
2021-08-30,17968.698892664775
2021-08-31,17941.60737551919
2021-09-01,17912.774223316672
2021-09-02,17883.62685413916
2021-09-03,17855.649702179027
2021-09-04,17829.87868484482
2021-09-05,17806.81618848122
2021-09-06,17786.86155025488
2021-09-07,17770.508597214626
2021-09-08,17758.4293679404
2021-09-09,17751.47933313888
2021-09-10,17750.528070161774
2021-09-11,17756.024231777603
2021-09-12,17768.03676571102
2021-09-13,17786.494604541807
2021-09-14,17811.46478287119
2021-09-15,17843.057776172544
2021-09-16,17881.374394429946
2021-09-17,17926.25728651737
2021-09-18,17977.179492312265
2021-09-19,18033.285140887994
2021-09-20,18093.61824913523
2021-09-21,18157.13140573159
2021-09-22,18222.766812948983
2021-09-23,18289.439090930733
2021-09-24,18356.18050556208
2021-09-25,18422.51804829641
2021-09-26,18487.803597771162
2021-09-27,18551.511208843585
2021-09-28,18613.816934122304
2021-09-29,18674.867756710413
2021-09-30,18735.488274127198
